"LARTINGTON FILTERS",,,,,,,,,,,,
Grid ref,NZ012180,Long,-1.982959,Lat,54.557239,,,,,,,
Station no,3490,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,2.88,0.74,3.37,2.33,3.71,3.38,2.70,2.48,5.13,,
February,3.71,0.60,2.07,2.40,2.26,2.10,2.87,5.73,0.24,2.99,,
March,3.86,1.45,0.51,1.64,1.82,1.78,1.75,3.08,1.28,2.51,,
April,2.01,1.11,2.86,0.68,0.44,0.77,0.27,1.45,2.50,1.56,,
May,3.35,1.57,2.33,4.32,2.46,0.78,1.86,4.19,0.37,2.76,,
June,0.63,1.18,2.14,2.31,1.98,2.83,1.02,3.70,1.67,0.74,,
July,1.03,0.94,2.49,1.21,0.90,3.61,3.60,3.00,1.95,4.30,,
August,3.08,2.68,3.98,5.37,1.11,7.11,4.80,2.73,0.84,2.94,,
September,1.57,3.84,2.22,3.79,1.49,3.95,3.86,3.14,1.13,2.80,,
October,0.97,3.28,1.65,5.26,1.96,2.11,3.12,2.04,2.34,6.80,,
November,8.25,2.19,2.46,5.57,2.04,1.10,1.96,0.70,5.67,4.59,,
December,6.07,2.42,1.41,3.66,5.08,4.58,3.79,4.67,5.42,4.41,,
Total,37.95,24.14,24.86,39.58,23.87,34.43,32.28,37.13,25.89,41.53,,
Calc annual,37.95,24.14,24.86,39.58,23.87,34.43,32.28,37.13,25.89,41.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
