DOVER (CHARLTON TUNNEL),,,,,,,,,,,,,,,,,,,,
Grid ref,TR309420,Long,1.2989,Lat,51.1309,Elevation,231,ft,,,,,,,,,,,,
Station no,267,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.4,0.99,3.37,1.75,2.9,3.02,0.96,3.62,1.81,2.72,,
February,,,,,,,,,1.23,0.67,2.37,1.15,1.88,1.01,1.89,3.27,3.21,0.43,,
March,,,,,,,,,1.67,3.55,1.46,2.39,3.13,2.13,4.48,1.18,3.92,1.53,,
April,,,,,,,,,1.92,1.88,2.01,1.26,0.14,2.34,1.35,1.88,1.88,2.01,,
May,,,,,,,,,1.03,0.78,3.46,0.69,0.5,0.99,0.9,2.8,1.78,1.57,,
June,,,,,,,,,2.25,2.81,2.52,2.15,3.41,1.07,2,0.63,2.64,1.97,,
July,,,,,,,,,3.28,2.43,2.12,0.26,1.3,2.05,2.37,3.74,1.11,2.99,,
August,,,,,,,,,2.67,2.51,2.3,1.1,4.68,1.81,1.23,1.88,3.32,4.88,,
September,,,,,,,,,1.79,2.36,0.75,1.45,2.78,2,1.13,3.43,0.98,1.18,,
October,,,,,,,,,1.47,6.58,5.11,6.07,3.78,3.87,2.7,3.85,5.74,4.02,,
November,,,,,,,,,1.2,0.67,5.62,5.1,1.98,3.65,2.27,4.06,4.57,2.3,,
December,,,,,,,,,3.04,4.29,2.96,3.95,2.71,1.88,6.06,8.07,3.28,2.4,,
Total,,,,,,,,,22.95,29.52,34.05,27.32,29.19,25.82,27.34,38.41,34.24,,,
