DOVER WATERLOO CRESCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR320410,Long,1.3143,Lat,51.122,Elevation,19,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.27,4.01,3.38,,,,2.15,2.06,2.41,2.23,3.87,1.15,2.51,2.73,1.62,2.3,2.69,2.44,4.37,5.03,4.47,5.06,2.96,3.04,,,,,,2.14,3.61,1.5,1.28,3.62,3.17,1.06,2.33,4.92,5.8,2.07,3.8,3.13,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.06,2.83,0.75,,,,0.97,3.3,3.37,3.87,1.27,1,1.89,2.78,0.65,2.04,0.29,3.09,2.29,5.01,1.32,1.22,2.19,2.14,,,,,,1.92,1.26,1.22,3.93,5.71,1.2,2.36,2.81,2.1,2.51,4.54,3.6,0.02,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.38,4.13,1.02,,,,1.41,1.56,0.46,2.66,2.5,0.19,2.36,0.36,1.39,1.52,2.62,0.21,0.72,5.2,0.6,2.53,2.59,1.85,,,,,,5.77,0.77,0.72,0.91,2.72,3.68,0.27,2.95,2.06,0.44,1.26,2.26,1.68,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.38,3.28,2.12,,,,2.61,3.41,3.04,1.71,3.05,1.04,1.93,2.56,2.76,1.52,2.21,3.79,2.3,2.53,0.94,3.32,1,0.99,,,,,,2.15,2.01,1.79,1.79,2.07,1.21,1.55,0.22,0.21,0.74,0.49,1.82,3.18,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.36,0.2,1.53,,,,2.9,1.87,1.43,0.56,2.22,1.3,3.24,2.09,2.11,1.47,1.1,2.3,0.17,4,2.34,1.5,0.7,1.37,,,,,,1.26,1.25,2,1.31,2.63,1.25,1.73,1.67,4.73,0.34,1.5,2.2,0.98,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.99,0.93,0.9,,,,1.91,0.74,2.81,4.43,1.89,1.83,1.26,0.86,1,3.29,1.55,2.46,2.7,1.61,1.48,1.51,0.51,,,,,,3.14,2.69,1.69,0.67,0.88,1.25,0.83,2.23,1.91,1.51,2.6,0.21,3.59,1.06,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.58,2.09,3.45,,,,3.35,2.62,1.3,5.88,1.02,0.81,3.37,3.3,3.41,1.1,1.37,0.28,5.21,2.19,1.87,1.51,3.59,,,,,,2.8,1.74,2.39,1.01,2.69,1.59,0.52,2.73,4.39,0.79,2.76,5.18,3.2,1.94,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.1,1.28,1.86,,,,3.11,1.4,1.41,3.76,1.41,2.04,3.3,4.13,0.91,0.72,2.04,3.98,1.8,1.12,2.21,2.67,0.04,,,,,,5.17,0.05,2.39,0.94,2.68,5.17,2.86,2.12,3.37,1.79,2.41,2.41,3.11,1.22,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,6.14,1.35,2.89,,,1.79,2.95,1.52,0.49,3.05,1.15,0.61,3.31,1.61,2.46,5.98,1.15,3.61,2.69,3.48,2.32,1.81,1.61,,,,,,2.35,1.42,2.16,2.87,2.42,4.09,5.77,2.99,1.51,0.96,2.21,3.35,2.29,0.09,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.64,1.19,,,,5.79,3.79,3.15,5.8,1.41,5.48,4.2,1.6,1.1,8.58,1.75,1.91,3.29,3.26,3.1,3.42,13.88,3.26,,,,,,1.15,0.54,1.45,6.07,0.98,2.72,2.23,3.12,1.58,6.17,2.46,1.23,4.7,3.36,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
