"WOLVERTON THE SCHOOL HOUSE",,,,,,,,,,,,
Grid ref,SP819409,Long,-0.806819,Lat,52.060435,,,,,,,
Station no,RR2234,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.49,0.92,0.72,2.50,2.25,0.81,4.02,0.43,1.45,0.74,,
February,4.35,1.00,1.14,0.74,3.55,0.71,1.75,1.04,0.83,0.36,,
March,0.60,2.10,1.65,3.01,1.36,2.69,1.45,0.80,2.93,1.84,,
April,0.68,2.00,0.79,1.06,1.43,1.85,0.69,2.04,4.08,1.83,,
May,1.08,1.31,1.94,3.00,2.20,0.99,1.17,4.04,1.79,1.66,,
June,2.05,1.20,2.04,5.08,0.54,3.64,3.82,1.88,1.34,4.49,,
July,1.70,2.43,1.38,3.13,2.59,0.40,1.37,2.70,1.72,2.67,,
August,2.88,1.61,2.78,3.46,2.37,3.32,0.88,2.02,2.58,3.05,,
September,0.47,1.33,2.14,1.88,1.79,1.53,0.89,0.64,1.46,2.23,,
October,1.84,1.70,1.80,5.60,0.82,1.20,4.25,3.52,1.39,3.87,,
November,2.09,0.86,1.51,1.73,1.51,3.21,3.74,2.15,0.76,0.58,,
December,2.87,2.84,1.46,1.00,1.68,0.85,2.21,3.33,1.60,2.87,,
Total,24.10,19.30,19.35,32.19,22.09,21.20,26.24,24.59,21.93,26.19,,
Calc annual,24.10,19.30,19.35,32.19,22.09,21.20,26.24,24.59,21.93,26.19,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
