"LOCH TREIG (FERSIT)",,,,,,,,,,,,
Grid ref,NN351782,Long,-4.706718,Lat,56.865827,,,,,,,
Station no,5734,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.55,8.05,5.00,7.29,5.82,6.10,14.35,7.15,4.55,6.27,,
February,5.76,3.16,5.43,4.05,5.44,4.39,7.08,3.47,4.68,6.92,,
March,4.56,6.32,2.96,5.74,1.62,4.46,6.08,2.15,5.16,1.21,,
April,8.09,3.41,5.30,3.83,2.63,2.81,2.27,3.83,5.80,7.26,,
May,1.06,3.15,5.53,5.11,3.10,6.39,1.61,6.05,1.55,2.61,,
June,2.74,5.19,1.81,3.55,2.08,3.67,2.87,2.22,4.47,3.14,,
July,5.16,2.90,8.15,3.35,0.94,5.65,6.56,3.95,5.25,2.86,,
August,5.88,5.18,5.77,3.94,1.67,5.69,5.21,4.76,3.80,4.81,,
September,6.42,7.12,7.01,11.06,6.97,7.53,3.73,5.36,1.35,3.27,,
October,3.35,11.93,7.14,12.61,6.96,6.43,9.23,8.40,9.21,2.34,,
November,10.82,3.60,16.46,13.27,2.25,6.27,1.73,2.15,9.19,6.92,,
December,16.47,7.48,10.32,16.15,13.76,15.31,11.40,7.86,11.70,9.54,,
Total,79.86,67.49,80.88,89.95,53.24,74.70,72.12,57.35,66.71,57.15,,
Calc annual,79.86,67.49,80.88,89.95,53.24,74.70,72.12,57.35,66.71,57.15,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
