ANNALONG,,,,,,,,,,
Grid ref,IJ370190,Long,-5.9060904,Lat,54.101986,Elevation,15,ft,,
Station no,RR4531,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,3.92,,
April,,,,,,,,5.49,,
May,,,,,,,,4.07,,
June,,,,,,,,2.31,,
July,,,,,,,,2.94,,
August,,,,,,,,3.35,,
September,,,,,,,,1.79,,
October,,,,,,,,3.86,,
November,,,,,,,,4.84,,
December,,,,,,,,4.2,,
Total,,,,,,,,,,
,,,,,,,,,,
1877 incomplete year so total deleted,,,,,,,,,,
Rev A Dudgeon is the observer so it is assumed that the gauge was at or near the church/vicarage and NGR for there.,,,,,,,,,,
The Old Vicarage stood on the Kilkeel Road until demolished in 2017 and a new building erected. Archaeological investigation prior to the rebuild give a grid ref,,,,,,,,,,
