BURNHAM-EAST-BURNHAM-LODGE,,,,,,,,,,
Grid ref,SU956843,Long,-0.62264146,Lat,51.549502,Elevation,258,ft,,
Station no,RR8143,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,1.92,1.08,3.86,0.85,2.19,0.81
February,,,,,1.5,0.62,1.89,1.46,1.48,0.41
March,,,,,1.47,3.34,1.44,1.07,3.24,2.81
April,,,,,1.58,1.78,0.51,3.26,3.7,2.5
May,,,,,1.9,1.06,2.34,1.75,1.69,1.3
June,,,,,1.94,3.71,2.69,2.2,1.16,4.29
July,,,,,2.41,0.44,0.26,1.89,2.59,3.17
August,,,,,2.31,2.2,1.05,1.91,2.75,2.2
September,,,,,2.18,1.63,1.49,0.58,1.98,2.51
October,,,,,2.83,1.37,4.54,4.22,2.42,4.92
November,,,,,2.26,2.38,3.26,2.37,0.85,0.68
December,,,,,1.84,0.99,2.87,3.11,2.29,2.31
Total,,,,,24.14,20.6,26.2,24.67,26.34,27.91
