"LOCH SLOY (SLOY POWER STATION)",,,,,,,,,,,,
Grid ref,NN324099,Long,-4.706803,Lat,56.251958,,,,,,,
Station no,5333/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.97,10.11,9.57,13.15,6.61,8.76,15.64,12.91,4.85,8.07,,
February,7.79,3.75,6.98,8.49,4.72,3.99,8.15,5.33,5.95,10.22,,
March,6.79,9.15,3.84,7.26,2.97,6.08,10.43,2.95,9.40,3.79,,
April,8.62,4.62,5.71,5.22,6.56,3.63,5.32,4.68,7.03,10.74,,
May,2.37,2.31,5.93,5.93,6.16,7.53,4.45,7.69,2.95,5.39,,
June,4.00,7.32,2.18,7.09,6.00,6.27,3.81,3.32,5.52,4.46,,
July,6.46,4.69,9.79,5.57,1.53,7.94,8.09,5.54,9.70,7.36,,
August,9.41,6.84,7.19,8.30,2.19,8.09,8.32,10.44,4.74,4.66,,
September,7.28,5.87,12.59,13.94,10.24,10.06,6.58,9.10,2.64,4.87,,
October,4.02,11.59,7.18,18.14,8.75,8.00,12.84,10.78,11.04,5.88,,
November,14.36,3.83,19.28,17.73,5.05,8.25,4.12,3.50,11.83,12.92,,
December,17.79,10.41,11.60,23.00,19.34,18.28,18.86,11.59,20.80,14.29,,
Total,100.86,80.49,101.84,133.82,80.12,96.88,106.61,87.83,96.45,92.65,,
Calc annual,100.86,80.49,101.84,133.82,80.12,96.88,106.61,87.83,96.45,92.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
