GLEN ISLA (LINNS),,,,,,,,,,
Grid ref,NO201705,Long,-3.310554,Lat,56.819105,Elevation,1370,ft,,
Station no,5586/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.6,4.6,2.5,4.3
February,,,,,,,5.4,4,1,6
March,,,,,,,4.2,3.9,4.9,4.1
April,,,,,,,1.9,2.2,4.3,6
May,,,,,,,2.9,4.3,1.1,3
June,,,,,,,2.2,3.4,3.7,2.8
July,,,,,,,5.1,3.8,4.9,1.1
August,,,,,,,5.2,4.6,1.4,5.7
September,,,,,,,2.6,5.9,1.1,3.84
October,,,,,,,2.9,4.2,6.8,10.06
November,,,,,,,2,1.1,10.4,6.5
December,,,,,,,5.9,7.2,13.8,5.4
Total,,,,,,,46.9,49.2,55.9,58.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Station no,5586/7/5,,,,,,,,,
Midas,15213,,,,,,,,,
Hyd Stn,872568,,,,,,,,,
