"BELFAST, DIVIS MOUNTAIN (1)",,,,,,,,,,
Grid ref,IJ280751,Long,-6.0189414,Lat,54.608845,Elevation,1220,ft,,
Station no,RR6265,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.5,2,1.5,2,
February,,,,,,2.75,4,3,4,
March,,,,,,4.5,5,3,3,
April,,,,,,2.25,3.5,2.5,4,
May,,,,,,1.5,2,1.5,3,
June,,,,,,1.5,1.5,1,2,
July,,,,,,5,2.5,0,2,
August,,,,,,2.5,2.75,2,4,
September,,,,,,2.5,3.25,3,4,
October,,,,,,2,4,1.75,5,
November,,,,,,4,5,2.5,3.5,
December,,,,,,2.5,3.5,1.75,3.5,
Total,,,,32.5,42.5,32.5,39,23.5,40,
,,,,,,,,,,
"1882 data: Jan-16th May 17.0; 16th May-Sept 7th 18.0""",,,,,,,,,,
