BELFAST DIVIS MOUNTAIN TOP,,,,,,,,,,
Grid ref,IJ280755,Long,-6.019110436,Lat,54.6121461,Elevation,1567,ft,,
Station no,RR6265,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.5,1.75,1.6,1.5,
February,,,,,,1.75,2.5,2.75,3.75,
March,,,,,,2.75,2.5,3,3,
April,,,,,,2,3,2,4,
May,,,,,,3.5,3,1,2.5,
June,,,,,,0.5,2,0.5,2.5,
July,,,,,,2.5,1.5,0,2.25,
August,,,,,,0.5,1,2,3,
September,,,,,,3.5,3.5,2.5,3.5,
October,,,,,,3,3,1,4,
November,,,,,,2,2.25,2.5,3,
December,,,,,,1.5,2,2.5,3.5,
Total,,,,33,,25,28,21.35,36.5,
