YARMOUTH-BELTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TG483024,Long,1.6620851,Lat,52.562724,Elevation,15,ft,,,,,,,,,,,,
Station no,RR6829,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.38,0.59,1.96,1.61,0.88,1.89,1.26,2.37,,,,
February,,,,,,,,,2.87,1.23,0.62,0.05,1.55,2.19,1.2,0.88,,,,
March,,,,,,,,,2.46,1.16,1.96,1.4,1.7,0.25,0.74,1.6,,,,
April,,,,,,,,,1.25,1.91,0.92,0.59,1.93,0.1,2.86,,,,,
May,,,,,,,,,1.59,2.86,1.2,2.28,1.45,0.92,2.59,,,,,
June,,,,,,,,,0.49,2.08,2.74,1.18,3,0.98,2.67,,,,,
July,,,,,,,,,4.66,2.22,4.45,2.85,2.07,1.93,3.19,,,,,
August,,,,,,,,,1.68,2.16,1.56,4.58,4.15,2.09,1.9,,,,,
September,,,,,,,,,1.49,3.48,1.03,0.91,2.03,1.04,2.31,,,,,
October,,,,,,,,,2.2,3.55,1.73,3.31,7.81,1.43,2.83,,,,,
November,,,,,,,,,2.9,1.22,4.58,2.03,1.6,3.06,2.24,,,,,
December,,,,,,,,,0.69,1.02,0.32,2.46,1,2.2,2.68,,,,,
Total,,,,,,,,,23.66,23.48,23.07,23.25,29.17,18.08,26.47,,,,,
