"HAWKESHEAD, ESTHWAITE LODGE PENINSULA",,,,,,,,,,
Grid ref,SD358964,Long,-2.9883,Lat,54.3597,Elevation,254,ft,,
Station no,RR1196,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.48,3.27,5.7
February,,,,,,,,3.42,0.85,4.29
March,,,,,,,,2.31,3.26,4.81
April,,,,,,,,2.36,2.38,2.82
May,,,,,,,,1.86,2.5,3.6
June,,,,,,,,0.23,1.68,0.77
July,,,,,,,,2.39,8.57,3.51
August,,,,,,,,1.89,5.52,6.67
September,,,,,,,,6.12,2.8,3.59
October,,,,,,,7.84,3.14,7.47,7.19
November,,,,,,,6.32,2.54,9.07,3.68
December,,,,,,,8.91,5.25,8.26,6.37
Total,,,,,,,,36.99,55.63,53
