LISKEARD-ST-PINNOCK-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX199630,Long,-4.53679,Lat,50.43969,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.69,6.62,9.54,10.88,6.87,7.77,5.78,8.33,7.55,9.3,8.61,11.38,3.9,10.06,6.62,,,,,,,,,
February,,,,,,,,2.38,5.38,8.62,2.09,0.71,5.83,12.6,2.26,9.57,3.59,4.47,6.2,2.89,3.12,5.9,,,,,,,,,
March,,,,,,,,5.98,2.49,7.7,6.04,4.9,5.4,3.38,3.94,1.62,1.32,6.53,7.9,0.98,4.06,,,,,,,,,,
April,,,,,,,,3.16,2.33,4.32,6.78,1.17,5.47,4.98,5.04,4.99,3.37,3.57,3.01,0.97,3.92,,,,,,,,,,
May,,,,,,,,2.86,1.16,2.48,2.91,3.62,2.7,3.33,4.58,6.68,2.73,1.04,1.96,4.81,4.02,,,,,,,,,,
June,,,,,,,,4.54,2.37,1.1,2.93,0.2,2.17,1.11,4.21,0.24,4.53,4.58,3.85,3.64,1.96,,,,,,,,,,
July,,,,,,,,2.5,5.3,1.21,7.64,2.12,6.64,2.14,7.47,4.12,2.28,4.92,2.69,2.95,4.3,,,,,,,,,,
August,,,,,,,,7.8,4.39,4.39,2.15,3.96,4.54,3.95,6.72,4.73,3.31,6.35,3.77,5.5,7.44,,,,,,,,,,
September,,,,,,,,2.7,9.04,3.32,5.01,1.48,4.64,4.66,6.05,5.6,1.44,10.3,2.15,0.75,7.37,,,,,,,,,,
October,,,,,,,,8.79,5.38,1.78,8.72,2.18,1.93,9.65,10.05,6.4,4.05,4.6,9.01,11.29,7.78,,,,,,,,,,
November,,,,,,,,4.11,5.71,6.19,3.76,6.96,4.09,6.02,4.73,5.65,11.83,5.71,8.06,17.4,9.28,,,,,,,,,,
December,,,,,,,,2.03,11.06,11.31,7.09,4.97,8.67,8.66,9.81,8.12,1.62,6.3,7.57,12.62,6.48,,,,,,,,,,
Total,,,,,,,,50.54,61.23,61.96,66,39.14,59.85,66.26,73.19,65.27,49.37,66.98,67.55,67.7,69.79,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 June Note says gauge moved 25yds to Trevelmond Unlikely as Trevelmond about 0.25 miles NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Mar Gauge moved back to rectory but no entries after Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
