GARELOCHHEAD (FERNICARRY),,,,,,,,,,,,,,,,,,,,
Grid ref,NS2337790912,Long,-4.83964,Lat,56.0783,Elevation,25,ft,,,,,,,,,,,,
Station no,5322/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,1.22,9.35,8.11,9.92,5.31,,,,,
February,,,,,,,,,,,6.94,2.38,8.05,2.8,12.29,,,,,
March,,,,,,,,,,,3.05,7.01,4.47,1.79,5.95,,,,,
April,,,,,,,,,,,2.24,3.87,4.75,4.07,3.4,,,,,
May,,,,,,,,,,,2.68,3.47,4.46,5.01,5.23,,,,,
June,,,,,,,,,,,1.36,2.63,5.29,5.97,6.72,,,,,
July,,,,,,,,,,,3.85,6.76,3.5,4.71,6.14,,,,,
August,,,,,,,,,,,6.93,8,9.63,4.21,2.04,,,,,
September,,,,,,,,,,4.85,2.98,8.39,5.89,5.64,7.72,,,,,
October,,,,,,,,,,8.39,7.1,10.12,15.41,6.71,7.44,,,,,
November,,,,,,,,,,9.74,7.66,1.57,4.83,11.49,0.68,,,,,
December,,,,,,,,,,10.25,4.82,10.86,4.04,8.17,7.31,,,,,
Total,,,,,,,,,,,50.83,74.41,78.43,70.49,70.23,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5322/6,,,,,,,,,,,,,,,,,,,
Midas,13778,,,,,,,,,,,,,,,,,,,
Hyd Stn,665081,,,,,,,,,,,,,,,,,,,
