PELSALL-GOSCOTE-SEWAGE-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK021018,Long,-1.9704189,Lat,52.61397,Elevation,435,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2336/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.25,,3.29,3.46,6.72,,3.74,2.78,5.25,2.67,1.36,2.19,1.95,4.69,1.46,0.54,2.22,2.53,0.89,1.36,1.61,2.93,1.34,1.79,2.81,5.26
February,,,,,2.74,,4.06,0.87,1.22,,2.15,0.9,1.21,1.86,2.04,3.1,1.51,1.08,0.71,4.45,2.69,0.39,1.92,2.16,1.63,0.38,2.24,3.84,0.22,1.64
March,,,,,0.63,,3.33,0.74,1.52,1.85,2.67,1.46,1,0.43,0.91,0.86,5.07,1.08,1.51,1,4.61,1.53,1.33,1.89,2.96,0.89,2.32,1.37,1.79,2.3
April,,,,,3.7,,2.76,0.24,1.75,4.01,1.71,1.38,0.98,1.93,1.21,1.55,1.99,1.75,2.52,2.12,2.12,2.14,2.65,0.49,0.98,1.53,0.33,0.77,3.38,1.41
May,,,,,0.91,,2.73,2.04,1.25,2.62,3.21,3.67,3.2,0.69,3.79,2.27,2.86,1.98,2.45,1.69,3.37,2.97,1.88,2.64,4.05,0.6,1,2.12,1.01,0.43
June,,,,,3.05,,1.08,2.32,1.08,0.82,1,0.83,1.34,1.83,2.61,2.66,1.66,3.65,0.4,1.73,1.35,2.21,2.65,3.33,2.62,1.67,1.13,4.68,1.21,2.42
July,,,,,0.4,,2.73,3.9,5.77,2.63,4.45,1.97,0.95,2.25,1.48,2.21,2.76,1.83,1.98,2,1.11,1.4,2.84,4.04,0.47,2.65,3.04,5.69,1.86,3.28
August,,,,,2.29,,0.89,4.07,3.06,0.43,4.05,2.53,2.17,1.61,2.61,5.78,0.71,4.7,1.52,3.31,4.61,2.72,2.11,4.7,0.88,4.49,4.48,3.51,2.05,3.52
September,,,,,4.57,,2.96,2.83,1.2,1.52,0.42,1.35,2.75,3.03,1.39,3.63,1.77,2.22,0.89,3.72,2.54,1.13,2.78,2.09,1.74,3.01,4.57,3.53,0.21,5.29
October,,,,,4.06,,2.47,2.79,3.91,3.36,2.78,2.74,1.76,3.21,4.1,0.68,0.45,2.41,5.17,0.92,0.89,3.85,1.91,3.96,1.36,1.55,1.62,2.67,2.43,6.43
November,,,,,5.78,,1.68,3.53,5.07,6.12,3.34,1.23,1.97,3.96,0.32,5.58,1.92,1.53,2.82,3.74,6.72,2.26,1.72,5.09,2.79,0.79,2.09,1.94,3.29,4.05
December,,,,,3.35,,3,4.12,1.57,2.39,1.54,2.73,1.18,1.64,2.44,2.8,2.23,3.62,1.42,1.37,2.47,3.42,1.24,2.4,1.87,2.84,1.83,2.78,3.89,3.51
Total,,,,,32.73,,30.98,30.91,34.12,,31.06,23.57,23.76,25.11,24.26,33.31,24.88,30.54,22.85,26.59,34.7,26.55,23.92,34.15,22.96,23.33,25.99,34.69,24.15,39.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Goscoate Sewage Works. Altitudes match. 1950s record has the NGR as SK015125, which is 900m NNW and is not the sewage works and does not fit the relationships to the church and station, the NGR used does fit these relationships.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 and Feb 1947 are part estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
