PLYMOUTH-ROYAL-HOSPITAL,,,,,,,,,,
Grid ref,SX466547,Long,-4.15851,Lat,50.37216,Elevation,40,ft,,
Station no,RR7911,,,,,,,,,
,,,,,,,,,,
,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769
January,,,,,,,0.165,4.63,5.755,
February,,,,,,,2.59,7,5.04,
March,,,,,,,1.69,4.27,0,
April,,,,,,,3.78,2.25,3.633,
May,,,,,,,2.6,2.86,0.815,
June,,,,,,,3.88,0.882,4.34,
July,,,,,,,3.55,5.56,4.742,
August,,,,,,,1.6,3.135,3.005,
September,,,,,,,2.63,2.531,6.06,
October,,,,,,,2.65,3.325,7.35,
November,,,,,,,4.66,3.506,6.49,
December,,,,,,,3.28,1.85,3.985,
Total,,,,,,,33.075,41.799,51.215,
,,,,,,,,,,
Royal Naval Hospital Stonehouse,,,,,,,,,,
