GLEN NEVIS (ACHRIABHACH),,,,,,,,,,
Grid ref,NN145684,Long,-5.037012,Lat,56.770138,Elevation,169,ft,,
Station no,5750/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,15.5,10.47,4.54,6.64
February,,,,,,,8.44,4.62,5.49,7.98
March,,,,,,3.98,9.32,2.87,8.35,1.88
April,,,,,,4.24,3.9,4.4,8.35,9.73
May,,,,,,7.88,3.43,7.97,2.13,4
June,,,,,,3.83,4.08,3.01,5.79,4.47
July,,,,,,6.63,7.86,3.41,8.9,5.17
August,,,,,,3.49,7.11,6.95,6.19,7.48
September,,,,,,7.53,6.68,6.48,2.54,4.81
October,,,,,,8.27,13.51,11.52,10.16,2.48
November,,,,,,6.96,3.78,2.45,12.77,10.31
December,,,,,,18.3,13.91,8.86,16.43,13.46
Total,,,,,,,97.52,73.01,91.64,78.41
,,,,,,,,,,
Station no,5750/3,,,,,,,,,
Midas,14004,,,,,,,,,
Hyd Stn,692071,,,,,,,,,
