ABERDEEN WALLFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 929 065,Long,-2.118721,Lat,57.149341,Elevation,163,ft,,,,,,,,,,,,
Station no,RR2255,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.27,2.24,3.35,3.14,3.7,1.43,,,,,,,,,
February,,,,,,3.3,2.43,1.44,1.83,1.21,2.75,,,,,,,,,
March,,,,,1.33,1.95,2.51,2.26,1.84,1.7,0.8,,,,,,,,,
April,,,,,0.99,0.6,1.46,3.25,2.58,2.42,1.37,,,,,,,,,
May,,,,,1.84,2.02,1.53,2.7,1.4,1.6,1.6,,,,,,,,,
June,,,,,1.43,0.95,1.56,1.41,0.71,2.4,1,,,,,,,,,
July,,,,,2.35,2.91,3.48,3.43,0.73,1.05,3.58,,,,,,,,,
August,,,,,1.58,3.8,3.16,3.52,6.71,1.3,1.5,,,,,,,,,
September,,,,,2.95,0.62,3.01,2.12,4,5.4,2.12,,,,,,,,,
October,,,,,4.46,2.94,2.6,2.07,2.52,6.1,2.95,,,,,,,,,
November,,,,,3.6,3.94,2.21,1.02,1.4,1.75,2.55,,,,,,,,,
December,,,,,3.53,2.7,3.16,2.6,5.43,2.24,4.9,,,,,,,,,
Total,,,,,,28,29.35,29.17,32.29,30.87,26.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR Location Medium Confidence,,,,,,,,,,,,,,,,,,,,
