ST ANNES ON THE SEA WHITEHALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD322284,Long,-3.0295869,Lat,53.747543,Elevation,20,ft,,,,,,,,,,,,
Station no,RR6966,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.96,4.2,1.18,2.56,2.27,3.88,1.12,3.73,4.07,1.88,4.28,1.44,2.25,,
February,,,,,,1.74,3.77,1.89,2.52,1.3,3.61,3.36,1.87,1.52,2.5,4.03,2.87,1.28,,
March,,,,,,3.25,2.75,3.16,3.02,2.94,1.08,1.23,5.64,3.56,3.59,1.42,1.88,2.75,,
April,,,,,,3.25,1.38,1.68,3,3.5,1.98,2.61,0.45,3.69,0.94,2.27,2.38,1.67,,
May,,,,,,0.47,3.71,3.9,3,1.82,1.85,1.38,2.26,2.54,2.2,1.33,2.66,2.7,,
June,,,,,,2.89,1.77,6.43,2.21,2.48,3.07,2.94,4.57,2.15,1.41,1.52,1.57,2.29,,
July,,,,,,1.68,1.59,2.52,4.02,5.47,4.3,0.64,4.66,1.39,6.1,4.13,1.04,1.15,,
August,,,,,,4.28,3.82,3.65,3.98,3.42,4.85,3.68,4.91,1.3,1.73,4.39,2.78,6.34,,
September,,,,,,2.55,1.54,0.77,4.61,3.04,0.53,2.59,1.41,3.13,2.96,0.42,2.67,2.74,,
October,,,,,,3.22,5.74,4.39,2.85,5.15,3.48,4.17,4.87,2.64,1.87,1.91,5.06,7.27,,
November,,,,,,4.18,2.46,2.75,3.15,1.52,6,3.55,2.42,4.76,4.14,2.01,3.12,3.3,,
December,,,,,,0.84,2.97,3.62,2.64,5.42,2.93,5.79,3.43,2.52,5.41,6.73,2.38,1.74,,
Total,,,,,,30.31,35.7,35.94,37.56,38.33,37.56,33.06,40.22,33.27,34.73,34.44,29.85,35.48,,
