ELSTREE-BARNET-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ186951,Long,-0.28742987,Lat,51.642205,Elevation,470,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.55,3.38,2.53,2.49,2.07,1.79,0.94,4.43,4.23,3.72,5.29,,2.31,2.39,,,,,,,,
February,,,,,,,,,,0.66,0.65,3.75,0.1,1.96,0.24,3.01,2.02,4.26,0.47,0.98,,2.3,0.93,,,,,,,,
March,,,,,,,,,2.13,0.12,1.46,2.48,1.49,,,0.48,1.33,2.9,0.5,1.67,2.73,2.67,2,,,,,,,,
April,,,,,,,,,1.07,1.37,2.09,5.38,2.78,1.41,1.98,3.36,1.56,2.72,0.21,3.54,1.27,1.51,1.42,,,,,,,,
May,,,,,,,,,1.96,2.13,2.47,3.23,4,1.75,0.85,1,0.57,2.91,1.88,1.55,1.67,2.05,2.59,,,,,,,,
June,,,,,,,,,2.65,1.05,1.27,1.46,1.24,1.69,1.01,3.73,3.42,2.59,0.68,1.95,0.99,1.58,0.32,,,,,,,,
July,,,,,,,,,2.19,2.14,2.46,3.64,2.25,1.24,1.55,1.28,3.74,0.97,1.21,2.28,2.06,6.89,2.04,,,,,,,,
August,,,,,,,,,1.53,1.15,3.31,4.85,1.07,0.63,2.19,1.69,0.47,1.33,3.05,4.14,0,4.88,2.63,,,,,,,,
September,,,,,,,,,1.16,0.63,4.17,2.57,2.46,2.71,1.88,4.37,3.14,1.37,1.93,1.56,0.94,0.44,1.42,,,,,,,,
October,,,,,,,,,4.39,3.82,2.6,0.86,4.98,1.53,1.51,2.99,2.02,2.8,3.71,5.84,3.41,0.67,3.78,,,,,,,,
November,,,,,,,,,3.03,6.02,5.32,3.05,1.41,1.2,2.05,4.43,3.44,1.41,4.11,5.55,6.03,2.53,1.82,,,,,,,,
December,,,,,,,,,2.51,5.67,3.44,0.87,1.1,0.42,6.17,3.21,1.88,3.93,3.73,1.47,1.5,1.63,2.94,,,,,,,,
Total,,,,,,,,,,26.31,32.62,34.67,25.37,,,30.49,28.02,31.42,25.2,35.82,,29.46,24.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Barnet Lane at the stated altitude and correct relationship to the church, the station relationship does not match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
