TUNBRIDGE-WELLS-FERNDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ593399,Long,0.27556821,Lat,51.136217,Elevation,370,ft,,,,,,,,,,,,
Station no,RR6948,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.35,3.71,3.23,4.74,3.14,0.77,1.15,3.72,2.91,0.9,2.56,,,,,,
February,,,,5.33,2.29,4.19,0.41,0.76,1.53,2.7,1.21,0.12,1.91,4.2,,,,,,
March,,,,1.16,2.34,2.08,2.38,2.05,4.21,2.58,3.11,3.12,1.75,0.57,,,,,,
April,,,,1.85,1.3,1.98,2.19,1.83,2.04,3.21,2.66,0.47,1.68,0.05,,,,,,
May,,,,2.05,0.66,4.04,2.78,2.29,1.25,1.32,1.99,3.82,1.16,0.66,,,,,,
June,,,,2.8,1.37,1.04,0.81,0.84,3.25,3.41,2.85,2.36,2.85,1.02,,,,,,
July,,,,1.94,1.92,0.15,2.73,1.15,4.28,3.01,3.47,3.45,2.01,3.48,,,,,,
August,,,,0.92,0.83,0.5,2.33,2.49,2.83,3.01,2.64,4.26,3.15,0.72,,,,,,
September,,,,3.52,4.26,5.1,1.32,3.68,1.01,1.32,0.84,1.15,2.57,3.19,,,,,,
October,,,,3.05,1.5,4.44,3.64,1.81,1.74,7.61,1.35,9.13,6.21,4.65,,,,,,
November,,,,4.73,1.24,4.38,4.13,6.05,5.03,1.38,4.01,3.25,3.04,2.66,,,,,,
December,,,,1.49,4.5,1.5,6.45,2.51,2.5,2.03,0.91,4.18,2.1,3.11,,,,,,
Total,,,,32.19,25.92,32.63,33.91,28.6,30.44,32.73,28.76,38.22,29.33,26.87,,,,,,
