ROMILEY-GREAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ945918,Long,-2.084229,Lat,53.422966,Elevation,510,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2741/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.57,2.54,3.25,3.25,3.89,4.5,1.68,1.12,2.9,5.01,5.51,3.39,4.4,2.5,8.47,2.19,2.48,3.8,3.83,1.98,,,,,,,
February,,,,0.39,3.97,2.69,6.25,1.3,2.99,2.32,4.16,1.8,2.72,2.22,3.85,5.78,1.01,2.31,2.01,4.09,3.01,1.43,1.99,,,,,,,
March,,,,2.71,1.69,1.76,2.11,1.49,2.03,2.72,3.41,1.92,0.92,0.87,1.35,0.96,5.48,1.1,1.9,2.02,5.25,2.44,2.72,,,,,,,
April,,,,1.72,2.55,1.27,3.34,0.42,2.35,2.37,1.71,1.58,1.74,2.72,2.27,1.73,2.83,1.57,3.3,3.4,2.63,3.5,,,,,,,,
May,,,,2.59,0.77,0.27,2.16,3.35,1.42,2.14,2.18,3.47,2.2,4.44,4.42,1.34,2.61,1.44,3.61,1.71,1.35,2.04,,,,,,,,
June,,,,2.5,4.27,3.34,2.24,3.41,2.89,1.08,4.2,1.06,3.77,3.16,3.94,3.93,2.55,5.92,0.83,3.12,1.76,2.6,,,,,,,,
July,,,,3.48,1.37,4.19,3.66,4.84,7.19,5.03,2.8,4.71,2,3.36,1.94,5.69,3.75,3.12,2.17,3.11,3.55,4.69,,,,,,,,
August,,,,3,1.81,2.06,1.49,2.34,1.86,1.9,5.95,4.34,5.35,3.51,3.71,5.23,0.66,4.99,2.8,4.16,4.25,2.67,,,,,,,,
September,,,,3.34,5.5,4.24,1.14,2.19,1.27,3.18,0.74,2.73,4.42,4.67,2.35,5.19,2.61,2.68,0.81,5.75,2.4,3.4,,,,,,,,
October,,,,5.58,6.21,4.32,1.58,6.4,1.77,3.72,4.91,5.98,3.4,3.57,6.38,0.48,0.69,2.52,3.22,2.78,1.13,3.75,,,,,,,,
November,,,,1.54,5.05,3.79,1.62,4.17,5.93,6.43,2.65,1.09,3.47,6.51,0.69,5.23,4.33,2.44,5.24,5.19,7.06,2.72,,,,,,,,
December,,,,4.43,3.29,3.99,2.63,3.75,2.96,3.92,2.2,3.53,1.9,2.73,2.35,4.15,3.48,2.76,6.03,3.54,5.9,3.65,,,,,,,,
Total,,,,33.85,39.02,35.17,31.47,37.55,37.16,36.49,36.03,35.11,36.9,43.27,36.64,44.11,32.5,39.32,34.11,41.35,42.09,36.72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Greave. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
