WINWICK PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ605931,Long,-2.5960023,Lat,53.433193,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2820/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.82,1.7,2.46,2.26,4.19,2.89,3.64,5.23,,1.54,3.8,4.24,4.48,2.13,4.3,2.58,6.65,2.75,1.48,2.89,3.53,1.5,3.12,2.33,4.27,1.95,2.11,2.66,4.81
February,,0.08,2.93,0.25,2.69,1.84,4.92,1.07,3.27,,2.91,1.73,2.16,1.42,2.84,5.13,0.65,1.95,1.66,4.31,1.86,1.17,1.14,3.07,2.18,0.43,2.07,5.89,0.33,1.8
March,,2.07,2.3,1.98,1.21,1.52,1.47,0.97,2.13,2.74,2.6,2.78,0.95,0.79,0.95,0.78,4.98,1,2.49,1.41,4.56,1.95,1.52,2.22,1.89,1.14,2.9,1.46,1.51,1.78
April,,2.39,1.03,1.96,2.1,1.14,2.77,0.39,1.77,1.82,1.15,1.66,1.29,2.83,1.75,0.96,2.29,1.38,2.55,2.84,2.26,2.73,2.68,0.79,1.76,3.55,0.84,0.77,3.01,1.79
May,,4.72,1.57,2.25,1.37,0.54,2.03,3.75,1.01,1.23,2.07,3.85,2.45,1.82,3.58,1.71,2.23,1.45,4.04,0.94,2.65,2.08,1.8,2.24,2.93,1.15,1.35,3.78,2.42,2.16
June,,0.5,2.23,1.85,3.59,3.33,1.36,3.37,3.27,1.14,0.38,0.42,2.82,1.8,3.42,3.06,1.99,4.01,0.54,3,0.8,2.65,1.84,2.84,2.99,1.69,2.06,4.48,3.33,1.53
July,,3.08,2.77,1.53,1,3.1,1.77,3.65,6.6,3.99,1.96,3.67,2.45,2.51,2.31,3.36,2.09,1.94,1.35,3.21,3.04,1.59,5.4,4.88,0.67,5.76,4.69,5.41,3.21,3.81
August,,1.24,1.37,3.43,1.36,1.85,3.83,3.59,1.87,1.29,6.05,3.08,4.53,3.27,2.79,4.15,0.23,4.47,1.74,4.5,4.85,2.23,3.94,4.5,0.88,10.74,5.34,3.6,0.58,4.65
September,,3.25,1,2.53,5.63,4.37,1.23,1.96,1.01,3.43,0.85,2.06,3.94,4.82,1.74,4.82,2.72,1.92,0.93,5.03,2.7,3.46,3.55,3.89,2.86,3.08,5.46,3.39,0.22,3.17
October,,7.62,4.29,4.98,5.06,3.44,2.05,6.36,2.3,3.55,4.12,4.46,3.3,3.94,5.27,0.74,0.78,2.5,3.52,2.37,0.7,4.09,1.6,5.98,2.2,2.51,3.3,3.35,3.08,3.74
November,,3.27,1.21,1.74,4.4,3.74,1.79,4.44,5.52,6.46,2.63,0.68,2.57,6.44,0.46,5.1,4.28,1.92,4.78,4.82,8.34,2.58,2.99,5.5,1.61,1.52,1.22,1.56,3.8,5.39
December,,1.6,0.36,4.63,3.58,3.16,1.85,3.99,2.67,3.15,1.06,4.15,1.68,3.07,2.58,3.16,2.83,2.87,5.07,3.38,5.59,2.95,1.12,4.85,4.05,3.15,2.88,3.86,5.35,3.8
Total,,33.64,22.76,29.59,34.25,32.22,27.96,37.18,36.65,,27.32,32.34,32.38,37.19,29.82,37.27,27.65,32.06,31.42,37.29,40.24,31.01,29.08,43.88,26.35,38.99,34.06,39.66,29.5,38.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used readings from original gauge for 1932 and 1933. Omitted October to December 1933 readings from replacement gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omitted estimated amounts for January and February 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
