"HADDO HOUSE, ABERDEEN",,,,,,,,,,,,
Grid ref,NJ867347,Long,-2.222975,Lat,57.402502,,,,,,,
Station no,5652,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.53,1.74,1.20,2.71,,,,,,,,
February,4.76,3.51,1.25,2.79,,,,,,,,
March,3.48,3.33,1.45,1.17,,,,,,,,
April,2.19,1.79,3.20,2.60,,,,,,,,
May,1.00,2.01,3.35,2.79,,,,,,,,
June,3.29,2.07,1.21,1.63,,,,,,,,
July,4.48,1.78,3.87,5.92,,,,,,,,
August,3.09,4.60,2.22,4.13,,,,,,,,
September,2.01,1.32,1.50,3.13,,,,,,,,
October,4.34,3.19,1.95,4.58,,,,,,,,
November,3.96,2.54,2.84,2.58,,,,,,,,
December,2.69,4.21,3.63,2.17,,,,,,,,
Total,37.82,32.09,27.67,36.20,,,,,,,,
Calc annual,37.82,32.09,27.67,36.20,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
