"HADDO HOUSE",,,,,,,,,,,,
Grid ref,NJ868347,Long,-2.221311,Lat,57.402505,,,,,,,
Station no,5652,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,2.96,2.06,1.37,1.29,3.78,1.98,3.57,4.21,4.13,,
February,3.67,1.83,1.57,3.15,3.15,2.21,1.58,3.43,0.49,2.80,,
March,2.62,2.81,0.20,1.84,1.70,1.77,2.07,3.73,1.25,1.81,,
April,3.22,2.00,2.29,1.20,0.89,1.32,1.39,1.19,1.91,1.78,,
May,1.90,2.32,1.54,3.60,2.99,0.43,1.60,2.53,1.26,0.88,,
June,1.54,2.82,3.19,3.15,1.08,1.68,2.49,1.68,1.48,2.15,,
July,4.27,2.15,4.14,2.34,0.52,4.79,7.31,5.19,1.70,3.41,,
August,3.98,3.44,2.81,2.80,0.32,3.72,4.77,3.24,1.16,4.77,,
September,1.26,3.47,4.18,2.06,1.75,2.88,3.58,2.23,0.98,2.44,,
October,1.09,2.45,1.60,5.14,6.02,3.53,1.61,2.22,4.59,7.07,,
November,7.78,4.29,2.22,6.08,1.60,2.13,2.00,0.96,6.24,4.20,,
December,2.03,2.96,2.41,4.05,5.43,4.16,4.40,3.95,4.20,1.86,,
Total,36.89,33.50,28.21,36.78,26.74,32.40,34.78,33.92,29.47,37.30,,
Calc annual,36.89,33.50,28.21,36.78,26.74,32.40,34.78,33.92,29.47,37.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
