ROTHBURY (HEATHERLEA),,,,,,,,,,
Grid ref,NU061022,Long,-1.9054389,Lat,55.313846,Elevation,436,ft,,
Station no,3590/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.45,1.3,1.93,2.58,,,,,
February,,0.67,3.56,0.85,2.2,,,,,
March,,2.62,1.13,5.67,1.2,,,,,
April,,2.32,1.34,5.48,4.03,,,,,
May,,2.67,1.44,1.17,1.24,,,,,
June,,1.16,1.33,1.77,,,,,,
July,2.64,2.58,2.19,2.18,,,,,,
August,3.85,1.57,2.01,3.78,,,,,,
September,-999,4.31,1.29,1.41,,,,,,
October,-999,4.49,4.12,4.71,,,,,,
November,4,0.75,4.63,4.66,,,,,,
December,,1.73,1.61,4.89,,,,,,
Total,,26.32,25.95,38.5,,,,,,
,,,,,,,,,,
"1931 Sept/Oct bracketed. Total of 1.25"" for the year clearly wrong thus deleted.",,,,,,,,,,
