WEYBRIDGE-ST-GEORGES-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ086641,Long,-0.44142082,Lat,51.365591,Elevation,115,ft.,,,,,,,,,,,,
Station no,RR8770,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2,0.91,0.98,2.26,1.78,0.36,,,,,,,
February,,,,,,,,0.52,1.14,2.09,0.89,0.02,1.08,,,,,,,
March,,,,,,,,1.44,2.75,1.6,1.54,2.12,1.1,,,,,,,
April,,,,,,,,1.67,1.71,2.6,1.72,0.84,0.84,,,,,,,
May,,,,,,,,1.52,1.19,3.17,1.66,2.95,1.11,,,,,,,
June,,,,,,,,1.16,3.14,0.66,2.96,1.22,2.95,,,,,,,
July,,,,,,,,0.89,6.28,2,4.01,3.36,2.15,,,,,,,
August,,,,,,,,1.02,2.24,1.93,1.62,4.64,3.46,,,,,,,
September,,,,,,,1.63,3.47,1.06,1.28,0.63,1.07,2.38,,,,,,,
October,,,,,,,2.41,1.69,1.52,3.22,1.06,6.07,3.48,,,,,,,
November,,,,,,,2.66,3.67,3.72,0.67,1.71,2.19,2.7,,,,,,,
December,,,,,,,3.26,1.43,1.29,1.35,0.68,2.95,1.32,,,,,,,
Total,,,,,,,,20.48,26.95,21.55,20.74,29.21,22.93,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is St George Lodge at the correct distance from church but direction is ENE not N as noted on the record.,,,,,,,,,,,,,,,,,,,,
Altitude from OS map.,,,,,,,,,,,,,,,,,,,,
860m from WEYBRIDGE-HEATH and adds a few years,,,,,,,,,,,,,,,,,,,,
