FERNILEE-UPPER-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK017771,Long,-1.9759581,Lat,53.290861,Elevation,940,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.98,4.31,2.79,4.23,3.46,4.8,5.41,5.76,7.15,,2.41,4.46,5.64,7.29,4.46,5.39,3.47,10.88,3.44,2.91,4.95,6.05,2.42,4.25,3.35,7.68,2.76,5.4,4.83,7.46
February,5.55,0.35,4.54,0.35,5.69,3.35,7.46,1.98,3.51,,5.64,2.55,3.93,2.46,4.1,7.38,2.54,3.45,2.18,6.21,5.65,2.86,2.47,3.72,2.46,1.35,3.78,7.76,0.66,3.2
March,1.68,3.29,3.37,4.1,1.66,2.5,3.76,1.64,3.05,3.05,4.18,2.72,1.8,0.88,1.79,1.7,8.38,2.01,2.64,2.01,7.47,3.11,3.23,3.38,3.41,1.76,3.98,2.38,2.23,1.79
April,5.81,5.55,1.73,2.86,4.02,1.69,4.57,0.44,2.9,3.25,3.48,2.37,2.93,3.29,2.6,2.02,3.98,2.76,3.82,4.77,3.48,4.29,4.17,0.83,2.61,2.13,0.41,1.81,3.08,2.12
May,3.04,5.38,2.19,3.33,0.74,0.41,2.7,4.45,1.69,1.43,2.94,5.05,3.9,3.17,3.63,1.92,2.87,2,3.28,1.36,2.27,2.72,2.29,3.49,4.64,1.26,2.32,4.88,0.91,1.98
June,5.56,0.98,5.28,2.72,5.38,3.79,1.65,4.8,2.92,1.4,2.72,0.76,3.65,3.93,4.42,5.13,2.79,7.16,2.31,3.74,2.31,3.07,4.37,3.67,3.64,3.45,2.03,6.87,1.86,2.05
July,5.68,4.59,3.48,3.63,1.76,6.5,4.3,5.48,7.76,4.54,3.56,6.09,1.55,4.48,1.8,5.67,3.6,4.14,2.25,3.44,2.84,4.17,5.64,6.6,2.12,6.02,6.29,6.02,3.58,7.4
August,6.58,2.13,1.43,3.86,2.01,2.81,3.09,2.37,2.62,2.44,7.33,4.13,4.39,3.27,3.24,5.56,0.6,6.63,2.32,4.52,5.52,2.98,5.61,5.13,0.7,10.25,6.88,4.39,1.02,4.43
September,4.61,4.33,0.88,3.91,6.88,5.49,1.39,2.62,1.44,4.09,0.74,3.8,5.42,4.58,1.85,6.21,2.23,2.49,1.42,6.17,2.56,4.41,2.93,4.91,2.69,3.82,10.37,5.3,0.22,3.88
October,2.23,8.76,5.12,6.64,8.35,5.88,2.69,6.51,3.33,4.72,5.34,7.7,2.88,5.86,6.71,0.77,1.14,2.91,4.49,3.13,1.32,4.93,2.25,8.05,3.14,3.1,4.13,4.53,3.98,5.55
November,5.77,3.85,3.22,2.15,6.73,5.7,2.01,5.85,6.78,8.91,4.35,1.27,3.84,6.96,0.85,6.51,5.08,2.91,6.26,6.1,11.14,3.23,2.87,7.73,2.71,1.74,2.49,2,5.14,5.69
December,1.94,1.74,0.51,6.92,4.52,4.53,3.34,7.23,2.77,5.32,3.2,4.49,2.67,3.62,3.65,4.56,5.27,4.81,6.8,3.67,6.18,4.23,2.23,7.36,5.03,6.35,6.34,4.79,8.14,4.5
Total,54.43,45.26,34.54,44.7,51.2,47.45,42.37,49.13,45.92,,45.89,45.39,42.6,49.79,39.1,52.82,41.95,52.15,41.21,48.03,55.69,46.05,40.48,59.12,36.5,48.91,51.78,56.13,35.65,50.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS scr_id 11859 UPPER HALL Sart 1931 end 1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Upper Hall. Altitudes match. Gauge moved in 1934 but no indication of distance or direction but altitude similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1940 adjusted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
