UPHALL NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT024708,Long,-3.5633,Lat,55.920347,Elevation,577,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.78,2.35,2.87,1.98,5.11,2.02,3.72,3.02,4.25,4.92,2.92,3.1,2.95,2.85,4.1,3.48,6.59,1.05,5.1,2.45,5.4,3.62,3.58,1.15,4.2,3.05,5.52,4.35,1.2,1.35,3.74,2.82,3.62,2.6,3.5,2.95,7.05,4,1.8,3.4,3.35,1,3.7,2.15,1.6,5.15,2.15,1.05,2.95
February,,,2.42,1.75,2.8,2.85,5.17,0.75,3.25,1.52,3.45,0.55,2.18,3.19,0.75,2.85,3.65,1.78,4.48,1.2,0.55,2.5,0.16,1.98,0.15,3.12,2.95,3.55,0.94,3.58,1.12,3.9,1.18,2.9,1.05,5.26,2.48,1.05,3.4,3.4,3.4,2.35,0.75,1.35,1.85,2.1,1.6,3.25,2.1,1.3,2.8
March,,,3.38,4.25,3.4,2.55,5.25,1.78,0.86,1.78,3.68,4.05,1.64,0.92,1.21,2.42,1.88,2.08,2.46,0.58,2.58,1.35,2.55,1.45,3.18,1.33,2.02,1.68,2.47,4.02,3.02,2.8,1.24,2.2,0.52,2.09,2.44,3.7,2.05,1,2.85,3.45,1.95,0.65,1.85,1.85,2,2.5,1.6,1.2,1.8
April,,,0.75,2.68,2.08,2.03,3.03,2.25,0.8,2.32,2.02,0.98,2.06,2.75,1.5,3.88,2.13,1.75,1.18,2.25,1.08,2.31,3.35,1.69,4.15,2.98,1.05,1.48,0.35,1.52,2.43,1.28,2.33,1.6,2.27,1.58,0.8,4.8,2.5,2.5,2.2,2.8,1.45,2.2,1.35,1.05,0.55,1.75,1.6,1.9,1.8
May,,,1.1,1.74,2.6,1.72,4.8,1.82,2.6,0.78,3.65,2.02,1.75,1.56,5.24,4.85,3.08,1.9,2.02,2.02,1.56,3.08,3.25,2.15,1.64,0.71,0.9,2.15,4.59,0.85,1.7,5.54,2.01,3.73,2.68,4.18,2.21,2.1,1.9,1.8,1.5,2.4,1.65,2.15,4.6,2.55,1.45,1.95,2.85,1.1,1.65
June,,,4.81,2.28,0.93,1.82,3.68,2.27,0.49,2.15,1.48,0.46,2.05,1.15,2.18,0.35,3.2,3.62,5.5,2.41,2.01,5.02,1.4,1.7,3.02,2.2,1.8,1.9,4.02,1.82,0.58,0.66,0.95,3.1,2.45,2.98,2.38,3.65,4.45,0.95,2.15,1.7,2.75,1.25,2.4,1.5,3.15,1.65,4.35,1.95,1.4
July,,,3.24,1.1,2.69,3.72,4.05,1.61,2.68,1.12,3.68,2.86,3.43,3.28,3.32,1.79,2.75,2.6,2.35,3.12,3.94,4.95,2.6,4.29,3.4,1.56,4.32,3.41,3.1,4.39,5.3,2.95,2.2,2.51,2.83,3.82,3.76,2.95,3.45,2.1,4.55,4.7,2.95,4.2,2.3,1.25,4.35,4.2,7.05,3.35,
August,,,3.8,1.1,2.6,2.82,4.27,4.72,2.1,2.5,6.05,5.31,1.53,5.15,3.38,2.78,2.05,7.05,4.63,4.55,5.5,3.9,0.88,1.7,3.29,1.71,1.9,4.53,1.88,1.2,1.38,3.85,2.5,4.22,4.56,2.63,3.49,0,8.2,4,3.3,5.7,5.2,3.1,5.7,1.2,6.5,3.5,4.7,0.75,
September,,,2.91,2.4,0.93,2.66,1.75,1.6,4.95,2.58,1.75,1.8,1.96,3.55,3.58,4.35,3.3,7.73,3.12,0.9,3.8,1.46,3.28,1.56,2.62,4.55,3.5,2.84,3.01,2.31,2.65,0.96,3.6,3.4,3.98,5.15,5.32,2.6,4.05,1.65,6.2,2.1,2.4,2.6,3.55,2.3,3.95,1.9,3.5,0.85,
October,,,2.98,2.33,1.72,2.25,6.42,3.68,4.48,1.5,0.82,4.1,1.42,2.95,3.38,2.5,4.65,4.5,4.3,4.1,3.86,2.96,5.25,2.55,4.7,7.26,2.85,4.12,6.82,2.91,3.29,3.07,3.8,5.02,3.51,4.43,0.76,1.6,2.9,5.75,2.25,0.8,2.3,1.55,7.55,2,2.45,3.15,2.15,2.7,
November,,,2.62,3.59,4.61,1.58,4.35,5.27,2.41,5.95,2.98,1.98,1.92,3.22,1.85,0.71,4.35,2.21,3.64,5.04,4.65,5.3,2.78,1.65,1.3,4.65,2.82,0.75,5.92,5.55,4.28,1.65,0.73,1.26,6.76,0.64,4.44,4.4,2.65,3.4,3.7,5.05,2.45,5.15,4.15,1.3,0.95,2.35,1.5,6.4,
December,,,3.9,2.4,4.91,5.15,3.85,2.37,2.92,4.06,2.28,4.78,3.4,2.91,4.12,2.45,0.96,1.56,3.33,5.55,2.12,2.35,7.19,0.7,3.3,1.44,3.98,1.95,2.6,1.38,2.95,1.55,2.75,1.62,3.28,2.65,2.9,2.95,3.65,6.25,2.2,4,3,3.7,4.3,5.15,3.65,3.55,5,4.2,
Total,,,33.69,27.97,32.14,31.13,51.73,30.14,31.26,29.28,36.09,33.81,26.26,33.73,33.46,31.78,36.1,40.26,43.6,32.77,36.75,37.63,38.09,25.04,34.33,32.66,32.29,31.41,41.22,33.88,29.9,29.56,27.03,34.38,37.51,38.01,34.48,32.75,46.25,36.8,36.1,38.45,30.2,28.9,43.3,24.4,32.2,34.9,38.55,26.75,
