KENDAL GREENSIDE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD507924,Long,-2.758584,Lat,54.324914,Elevation,380,ft,,,,,,,,,,,,,
Station no,3718,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.74,10.03,-999,4.99,5.27,4.9,7.62,7.05,,2.19,9.91,5.84,8.44,5.84,8.3,,,,,,
February,6.05,0.2,-999,6.4,0.8,6.03,8.41,4.45,7.32,1.72,0.5,5.6,0.06,4.11,0.34,,,,,,
March,6.73,7.47,3.76,1.89,3.19,1.83,3.03,5.76,6.13,1.89,3.35,0.97,3.62,3.53,3.63,,,,,,
April,5.86,1.71,2.44,4.18,2.53,5.37,2.19,3.02,2.43,2.58,2.5,2.78,4.27,2.53,3.87,,,,,,
May,6.86,4.12,3.7,4.05,8.06,5.93,2.37,3.08,0.81,3.28,1.95,3.1,5.55,2.68,5.25,,,,,,
June,3.03,0.2,2.89,1.12,4.29,0.19,3.67,3.97,8.17,2.77,2.83,7.78,2.77,2.41,3.97,,,,,,
July,6.91,2.21,5.15,5.55,3.83,2.4,5.27,6.1,8.48,6.23,4.36,7.2,7.47,3.92,1.64,,,,,,
August,3.69,8.25,5.67,9.28,4.1,5.62,5.25,7.36,8.54,9.11,6.28,3.88,2.16,3.76,,,,,,,
September,3.97,2.8,4.73,7.21,7.79,3.65,5.54,,4.31,3,3.68,2.34,7.14,1.27,,,,,,,
October,1.87,3.13,2.05,9.9,5.51,6.26,4.32,,8.69,7.79,9.83,5.22,,5.89,,,,,,,
November,3.86,2.94,3.47,8.93,4.37,2.21,7.98,,11,11.97,6.33,11.94,,2.24,,,,,,,
December,5.65,8.24,7.07,5.75,11.34,5.42,1.59,,5.14,9.64,6.15,5.51,7.41,1.03,,,,,,,
Total,62.22,51.3,52.64,69.25,61.08,49.81,57.24,,,62.17,57.67,62.16,,39.21,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1928 Jan and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,
1929 total arithmetic on record wrong,,,,,,,,,,,,,,,,,,,,,
"1932 Oct, Nov and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,
