THORNEY-BLEAK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TF335035,Long,-0.029719972,Lat,52.612875,Elevation,4,ft,,,,,,,,,,,,
Station no,1220/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.4,2.48,2.24,3.87,1.78,1.82,1.17,,,,
February,,,,,,,,,,2.34,2.24,0.73,0.27,1.08,1.52,1.65,,,,
March,,,,,,,,,,1.93,3.27,1.29,0.58,0.2,0.55,0.82,,,,
April,,,,,,,,,,1.24,0.81,0.71,0.9,1.59,0.8,0.72,,,,
May,,,,,,,,,,1.1,2.2,2.66,2.07,0.77,1.48,1.19,,,,
June,,,,,,,,,,0.45,0.77,0.48,1.26,1.59,1.66,1.94,,,,
July,,,,,,,,,2.3,3.21,3.19,2.5,1.22,2.26,1.03,2.43,,,,
August,,,,,,,,,2.14,0.1,3.59,1.77,1.76,2.98,3.08,2.64,,,,
September,,,,,,,,,0.88,0.43,0.66,1.42,1.8,3.38,1.72,2.45,,,,
October,,,,,,,,,4,1.35,1.84,1.92,1.14,2.52,2.77,0.97,,,,
November,,,,,,,,,2.85,5.27,3.06,2.62,1.21,1.96,0.32,3.91,,,,
December,,,,,,,,,1.41,1.42,0.61,1.92,0.73,1.06,2.01,2.16,,,,
Total,,,,,,,,,,20.24,24.72,20.26,16.81,21.17,18.76,22.05,,,,
