KIRRIEMUIR (DALVANIE),,,,,,,,,,,,
Grid ref,NO186657,Long,-3.333588,Lat,56.775735,,,,,,,
Station no,5586/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,2.40,1.30,3.10,2.10,3.70,5.70,4.20,1.50,3.40,,
February,5.00,2.10,1.80,4.30,2.40,2.30,5.00,2.50,0.80,6.50,,
March,2.30,4.70,1.35,3.90,1.20,3.70,4.10,3.75,4.20,5.90,,
April,2.50,2.10,2.50,1.90,1.60,1.20,1.60,1.40,4.10,3.50,,
May,2.00,5.20,3.00,5.00,2.90,1.30,2.60,4.00,1.10,2.70,,
June,2.30,2.00,2.20,1.90,2.00,3.50,2.00,4.10,3.80,2.65,,
July,2.20,2.50,3.90,3.20,1.00,4.20,3.80,4.10,3.60,3.35,,
August,5.60,3.30,2.20,3.00,1.40,7.20,4.70,3.50,2.00,4.20,,
September,2.90,1.30,4.20,4.90,1.80,5.10,2.20,4.50,1.20,3.22,,
October,1.00,6.10,2.90,7.80,2.90,3.00,3.20,4.60,6.10,8.38,,
November,12.30,2.40,3.70,9.90,3.00,1.90,1.80,1.20,8.30,6.80,,
December,5.00,3.70,4.40,6.30,9.20,8.50,4.70,7.40,11.10,3.50,,
Total,46.30,37.80,33.45,55.20,31.50,45.60,41.40,45.25,47.80,54.10,,
Calc annual,46.30,37.80,33.45,55.20,31.50,45.60,41.40,45.25,47.80,54.10,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
