KIRRIEMUIR (DALVANIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO186657,Long,-3.333588,Lat,56.775735,Elevation,1020,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5586/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.7,5.6,4.3,4.7,1.9,5.5,10.1,9.1,4.4,3.06,3.3,6.5,6.8,4.3,3.1,5.3,7.2,6,3.8,3.5,3.2,2.4,1.3,3.1,2.1,3.7,5.7,4.2,1.5,3.4
February,3.3,0.25,4.3,0.4,4.4,3.3,4,1.9,5.3,2.9,5.5,2.1,3.6,1.6,6,3.2,3.1,4.4,2.7,4.5,5,2.1,1.8,4.3,2.4,2.3,5,2.5,0.8,6.5
March,1.5,3.4,2.7,3.1,2.4,3.9,5.3,1,3.3,3.4,3,3.5,1.5,0.8,2.1,2.5,5,3.1,2.7,1.35,2.3,4.7,1.35,3.9,1.2,3.7,4.1,3.75,4.2,5.9
April,3.1,4.4,1.7,4.6,4.5,1,2.1,0.35,1.5,2.3,2,3.3,2.3,2.9,1.6,0.7,6.5,1.7,2,3.15,2.5,2.1,2.5,1.9,1.6,1.2,1.6,1.4,4.1,3.5
May,5.1,3.5,1.5,2.9,0.7,0.9,2.3,3.5,1.8,1.6,1.6,5.3,3.9,3.5,5,2,5,4.5,3.3,1.5,2,5.2,3,5,2.9,1.3,2.6,4,1.1,2.7
June,4.7,1.7,1.3,1.3,5,1.6,2.2,5.3,2.2,0.3,0.8,1.1,3.1,3.5,3.9,4,3.25,5.2,1.6,1.7,2.3,2,2.2,1.9,2,3.5,2,4.1,3.8,2.65
July,4,6,5.8,4.1,1.2,4.8,5,4.8,5.3,5,2.9,3.3,2.2,2.65,4.1,4.5,6.8,4.1,1.7,6.7,2.2,2.5,3.9,3.2,1,4.2,3.8,4.1,3.6,3.35
August,1.7,1.5,1.4,5.8,3.2,2.3,3.5,3,2.5,1.3,4.3,4.3,6.2,1.8,2.2,5.2,0.25,7.9,3.5,5.5,5.6,3.3,2.2,3,1.4,7.2,4.7,3.5,2,4.2
September,1.1,2.2,2.1,6,5.9,5,2,4.2,2.5,2.5,2.6,3.7,5.4,3,5.4,6.2,4.15,3.7,2,8.8,2.9,1.3,4.2,4.9,1.8,5.1,2.2,4.5,1.2,3.22
October,3.1,8.2,4.7,6.6,7.4,3.2,3.6,7,10.2,6.5,4,3.3,6.6,6,5.4,0.4,2.5,4.7,6.2,3.1,1,6.1,2.9,7.8,2.9,3,3.2,4.6,6.1,8.38
November,9.2,2.9,5.7,1,5.7,3.5,0.8,8.3,9.1,7.1,8.8,0.9,2.5,5.6,1.4,7.6,5.2,1.8,6.8,4.5,12.3,2.4,3.7,9.9,3,1.9,1.8,1.2,8.3,6.8
December,3.5,6.9,1.9,10.5,3.7,6.7,3.3,6,2.5,3.4,3.1,6.6,2.5,5,9.2,5.2,3.3,9.3,5,2.5,5,3.7,4.4,6.3,9.2,8.5,4.7,7.4,11.1,3.5
Total,44,46.55,37.4,51,46,41.7,44.2,54.45,50.6,39.36,41.9,43.9,46.6,40.65,49.4,46.8,52.25,56.4,41.3,46.8,46.3,37.8,33.45,55.2,31.5,45.6,41.4,45.25,47.8,54.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Dec Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1945 P Ja Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1947 P Feb Mar est for snow May est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1953 P Fe Apr part est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1955 P Fe Mar appt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1956 P Ja Fe Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1959 P Se Oct Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1960 P Jun Jul Appt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5586/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,872643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
