FERNHURST-HILL-FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU888319,Long,-0.73371798,Lat,51.079561,Elevation,426,ft,,,,,,,,,,,,,
Station no,464,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.3,4.37,4.95,2.88,6.3,1.65,5.52,2.99,,,,,,,,,
February,,,,,0.59,5.8,2.71,5.19,2.61,0.88,1.39,2.49,,,,,,,,,
March,,,,,1.91,0.46,0.31,4.82,3.27,0.17,1.23,0.82,,,,,,,,,
April,,,,,3.94,3.59,3.63,2.6,1.94,0.71,3.2,4.02,,,,,,,,,
May,,,,,6.66,5.97,2.46,0.9,2.75,3.2,2.7,3.47,,,,,,,,,
June,,,,,3.46,0,3.06,2.83,3.01,2.02,0.48,2.34,,,,,,,,,
July,,,,,3.44,3.75,2.48,6.03,1.67,1.95,3.09,5.28,,,,,,,,,
August,,,,,3.36,5.56,1.78,4.67,2.87,2.37,5.68,5.13,,,,,,,,,
September,,,,,5.88,3.33,0.71,8.25,1.53,0.01,3.33,2.77,,,,,,,,,
October,,,,,5.14,4.3,2.6,3.13,7.8,4.44,1.85,0.67,,,,,,,,,
November,,,,,2.83,3.25,7.68,4.65,3.94,10.23,6.7,4.61,,,,,,,,,
December,,,,,6.44,4.06,0.33,,3.8,9.22,3.67,0.97,,,,,,,,,
Total,,,,,46.95,44.44,32.7,,41.49,36.85,38.84,35.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Dec estimated,,,,,,,,,,,,,,,,,,,,,
