BAWTRY-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK650932,Long,-1.023144,Lat,53.431588,Elevation,37,ft,,,,,,,,,,,,,
Station no,2643,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.22,1.23,3.41,2.43,2.34,1.99,0.93,1.72,1.23,1.13,,3.36,1.47,4,3.12
February,,,,,,,1.75,1.5,1.73,,0.7,2.22,0.46,3.57,0.7,2.58,2.34,2.63,1.03,0.98,2.17
March,,,,,,,0.57,1.57,2.17,0.17,2.19,0.46,1.19,2.69,2.39,0.55,1.17,1.87,0.25,1.77,2.36
April,,,,,,,1.43,1.33,0.84,0.44,2.49,3.15,1.98,1.05,,1.81,,3.03,0.08,1.14,1.76
May,,,,,,,1.63,1.82,2,,1.39,2.31,7.28,2.15,1,0.38,0.78,3.71,3.17,1.12,0.64
June,,,,,,,2.87,2.74,2.72,0.76,1.53,4.31,0.99,2.52,1.16,4.83,3.28,2.04,1.58,2.24,1.42
July,,,,,,1.03,2.51,2.44,0.51,1.88,5.3,3.87,4.76,1.35,1.39,0.56,,2.35,3.67,3.6,4.01
August,,,,,,2.84,2.66,4.03,2.58,,2.86,4.3,1.87,,,1.73,,0.3,2.33,,0.46
September,,,,,,3.1,0.92,3.99,0.28,,3.45,2.79,1.21,,1.6,3.86,1.94,2.37,1.75,0.64,0.88
October,,,,,,2.69,1.82,1.8,4.37,,2.12,0.62,3.27,4.18,1.41,3.39,2.03,2.98,2.34,2.59,3.83
November,,,,,,1.75,2.52,2.03,2.69,,3.13,2.92,1.25,1.95,2.01,3.98,2.5,1.43,2.06,3.21,5.65
December,,,,,,1.92,0.73,2.3,1.45,,1.74,0.75,0.8,0.35,,2.67,1.32,3.8,3.28,2.39,2.66
Total,,,,,,,21.63,26.78,24.75,,29.24,29.69,25.99,,,27.47,,29.87,23.01,,28.96
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1933 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,
1934 Apr Aug Dec estimated,,,,,,,,,,,,,,,,,,,,,
1936 Jan Apr Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,
1939 AUg estimated,,,,,,,,,,,,,,,,,,,,,
