"MAYBOLE (CULZEAN CASTLE GDNS)",,,,,,,,,,,,
Grid ref,NS232103,Long,-4.790375,Lat,55.354807,,,,,,,
Station no,5264,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.76,5.88,,,,2.93,4.10,4.74,1.51,,,
February,3.49,2.40,,,,0.70,2.66,4.01,2.19,,,
March,3.67,1.52,,,,1.39,4.26,0.95,2.69,,,
April,2.00,1.38,,,,1.20,2.89,1.60,2.47,,,
May,1.64,1.28,,,,1.78,1.58,3.05,1.40,,,
June,1.96,2.89,,,,2.56,2.96,2.80,2.89,,,
July,2.48,3.26,,,,6.22,4.18,4.16,3.58,,,
August,5.32,6.08,4.09,5.04,,6.01,4.46,4.39,0.65,,,
September,2.97,2.43,3.84,5.31,,3.52,3.99,3.07,2.02,,,
October,1.54,4.80,4.14,8.47,,3.04,4.97,3.00,5.56,,,
November,6.34,2.87,5.92,5.86,,2.50,2.18,2.22,4.88,,,
December,8.23,4.17,4.32,5.88,,3.73,3.86,4.79,5.51,,,
Total,44.40,38.96,,,,35.58,42.09,38.78,35.35,,,
Calc annual,44.40,38.96,22.31,30.56,0.00,35.58,42.09,38.78,35.35,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
