BRIGSTOCK,,,,,,,,,,
Grid ref,SP944852,Long,-0.612175,Lat,52.456604,Elevation,170,ft,,
Station no,1134/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.52,3.4,3.72
February,,,,,,,,3.37,0.06,1.71
March,,,,,,,,1.82,2.21,2.26
April,,,,,,,,0.78,1.92,0.4
May,,,,,,,,2.81,0.48,1.25
June,,,,,,,,5.65,0.42,3.15
July,,,,,,,,2.5,1.6,2.67
August,,,,,,,,2.64,1.72,2.44
September,,,,,,,,1.75,0,3.53
October,,,,,,,,2.03,1.3,4.51
November,,,,,,,,1.41,1.65,2.91
December,,,,,,,,2.17,3.85,3.3
Total,,,,,,,,29.45,18.61,31.85
