ABERNANT COLLIERY,,,,,,,,,,,,
Grid ref,SN701082,Long,-3.883459,Lat,51.757378,,,,,,,
Station no,4039/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.49,4.53,8.59,,
February,,,,,,,,6.33,0.70,6.41,,
March,,,,,,,,0.99,4.76,2.68,,
April,,,,,,,,1.68,5.42,5.28,,
May,,,,,,,,3.93,1.46,2.23,,
June,,,,,,,,4.75,5.42,3.07,,
July,,,,,,,,5.66,5.30,7.86,,
August,,,,,,,,4.60,1.72,8.06,,
September,,,,,,,,9.12,0.74,7.46,,
October,,,,,,,,3.55,9.81,8.87,,
November,,,,,,,,3.26,12.54,14.71,,
December,,,,,,,,5.69,12.79,8.62,,
Total,,,,,,,,54.05,65.19,83.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.05,65.19,83.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
