ASHTEAD-PARK-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ194576,Long,-0.2885,Lat,51.30544,Elevation,318,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,133/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.3,2.61,2.35,2.94,5.87,1.87,1.72,2.03,2.11,3.97,1.16,0.93,3.92,2.25,1.25,1.29,3.2,4.24,1.84,,,
February,,,,,,,,,1.64,2.03,2.62,0.64,1.81,0.93,1.54,2.51,1.64,1.5,1.33,4.91,7.69,0.9,1.4,3.52,1.72,0.38,3.56,,,
March,,,,,,,,,1.39,3.54,3.78,1.59,0.33,0.13,1.37,1.26,5.44,0.85,0.96,1.2,3.6,2.89,0.44,1.28,1.44,0.82,1,,,
April,,,,,,,,,2.76,1.88,2.13,1.73,1.02,1.74,1.27,2.33,2.07,1.74,1.93,3.09,2.76,1.21,2.63,0.31,0.26,1.47,0.44,,,
May,,,,,,,,,2.49,1.63,1.98,3.63,2.85,0.72,1.99,3.38,1.7,2.28,2.3,1.51,2.2,1.75,1.63,3.04,,0.26,1.52,,,
June,,,,,,,,,2.29,0.5,2.45,0.31,1.67,2,1.79,2.41,2.67,2.64,0.8,1.39,1.05,1.35,1.71,4.01,,2.51,0.99,,,
July,,,,,,,,,2.35,2.22,3.92,2.09,1.48,1.94,3.33,1.46,1.56,1.22,0.6,3.51,2.09,0.82,3.37,3.05,1.02,5.24,2.94,,,
August,,,,,,,,,1.61,0.06,3.95,2.82,1.39,2.42,1.41,5.11,0.36,4,1.86,2.58,3.71,3.73,1.52,3.05,1.4,3.44,3.23,,,
September,,,,,,,,,1.56,1.49,0.37,1.73,2.27,2.25,2.29,3.17,1.32,1.54,0.45,2.82,3,2.89,3.28,2.14,1.69,2.43,2.84,,,
October,,,,,,,,,6.08,2.95,1.23,3.43,3.29,3.91,3.34,1.4,0.28,1.87,6.38,0.57,0.97,3.19,3.79,2.4,3.45,1.41,1.66,,,
November,,,,,,,,,4.64,7.79,3.11,2.24,1.34,3.99,0.48,4.18,1.19,1.7,3.09,6.22,7.26,3.38,1.58,5.66,1.21,0.85,2.76,,,
December,,,,,,,,,1.56,1.41,2.08,3,1.94,2.53,3.79,3.3,3.25,3.96,1.35,2,2.81,2.31,0.7,2.32,2.74,4.06,2.52,,,
Total,,,,,,,,,33.67,28.11,29.97,26.15,25.26,24.43,24.32,32.54,23.59,27.27,22.21,30.73,41.06,26.67,23.3,32.07,,27.11,25.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Trees Park Lane Ashtead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Observations formerly taken at Leatherhead Dunard Lodge Stn No 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 There are 2 gauges a MO 8in and a 5in Snowdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Readings from 5in gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 1942-1957 Readings from 8in gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Both gauges give similar readings 8in used from 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Station terminated. Observer moved New house has no suitable site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
