ROCK-FERRY-ELMHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ328858,Long,-3.0113162,Lat,53.364779,Elevation,110,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.85,3.03,0.56,4.29,2.77,1.22,3.57,1.27,1.89,1.66,2.97,2.93,3.03,4.1,1.65,2.17,1.65,2.59,3.28,4.9,,4.55
February,,,,,,,,,,0.75,2.58,2.18,1.01,0.78,1.49,2.29,2.95,1.61,2.47,1.35,3.01,0.18,2.95,3.7,0.73,5.4,2.84,1.43,2.68,,0.2
March,,,,,,,,,,2.35,0.69,1.17,4.07,2.65,3.31,1.41,1.54,2.77,1.23,5.44,4.26,1.76,2.05,1.29,0.82,0.81,0.86,2.93,1.18,,3.49
April,,,,,,,,,,2.4,3.26,1.91,0.05,3.09,0.78,1.83,1.72,1.52,1.35,1.57,4.29,1.18,2.15,2.02,1.78,1.64,0.62,1.43,1.11,,3.13
May,,,,,,,,,,1.52,2.34,0.91,1.68,3.07,1.92,1.55,2.91,4.3,3.35,1.71,3.37,2.21,1.51,3.79,6.1,2.75,3.32,1.49,1.54,,1.09
June,,,,,,,,,,2.79,3.52,2.78,3.46,2.65,2.06,1.07,1.65,2.09,2.58,2.11,3.9,0.29,2.31,0.45,2.2,0.01,1.32,4.85,5.33,,1.5
July,,,,,,,,,,3.28,4.67,0.6,2.87,2.91,4.93,4.03,1.88,1.5,4.22,1.58,6.69,1.79,4.04,3.51,4.83,2.76,3.88,3.63,2.41,,4.78
August,,,,,,,,,,2.88,3.73,3.97,6.33,2.58,1.88,5.77,3.87,7.61,2.08,4.87,2.1,5.43,3.27,3.59,5.65,3.98,3.18,6.8,3.23,,5.19
September,,,,,,,,,,2.82,0.43,4.62,1.4,1.92,2.57,0.63,3.32,1.4,6.76,1.83,3.7,1.42,3.01,4.7,3.83,5.07,4.34,6.63,1.55,,2.93
October,,,,,,,,,,3.84,3.1,2.65,2.93,2.7,1.66,2.33,4.15,6.58,2.42,3.1,2.39,3.24,0.32,4.85,4.12,4.57,3.99,2.91,3.65,,5.16
November,,,,,,,,,,1.12,5.25,2.19,2.71,3.11,3.38,2.24,2.18,2.98,2.2,1.75,0.59,2.16,1.61,3.28,2.08,3.14,4.32,4.25,,,4.42
December,,,,,,,,,,6.29,3.39,3.9,2.32,2.49,5.4,4.98,2.15,1.67,7.32,6.24,2.4,3.5,3.95,4.62,3.35,2.23,0.88,1.31,2.28,,4.26
Total,,26.25,27.36,38.24,28.08,25.8,30.81,28.76,33.12,31.89,35.99,27.44,33.12,30.72,30.6,31.7,29.59,35.92,37.64,34.52,39.63,26.19,31.27,37.45,37.66,34.01,32.14,40.94,,,40.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 47 Ravenswood Avenue, Rock Ferry also called Elmhurst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match as do relationships to church and station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
