ROCK-FERRY-HIGH-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ328858,Long,-3.0113162,Lat,53.364779,Elevation,100,ft.,,,,,,,,,,,,,
Station no,2788,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.98,3.9,1.75,3.74,3.09,2.54,1.55,2.16,1.4,3.21,2.2,,,
February,,,,,,,2.65,1.21,2.11,1.13,0.2,2.72,0.06,3.74,0.13,2.39,1.91,4.87,,,
March,,,,,,,1,2.63,1.19,0.38,3.36,0.56,1.84,2.22,1.49,1.05,1.32,1.45,,,
April,,,,,,,0.61,1.36,0.99,0.9,2.72,2.56,3.15,0.81,1.81,1.78,0.99,2.78,,,
May,,,,,,,3.3,1.28,1.42,1.71,1.1,2.4,4.3,1.13,2.06,1.96,0.9,2.6,,,
June,,,,,,,1.32,4.08,4.68,1.48,1.29,5.41,0.4,1.87,1.17,4.47,3.68,1.75,,,
July,,,,,,,3.41,3.18,2.2,2.92,4.55,2.87,3.5,2.44,0.85,2.21,3.71,2.87,,,
August,,,,,,,3.38,5.57,2.82,2.79,4.85,6.27,1.19,1.89,3.54,1.93,1.72,1.11,,,
September,,,,,,,3.84,5.94,1.46,2.03,2.52,2.81,3.38,0.55,2.28,4.73,3.67,1.37,,,
October,,,,,,,3.62,2.46,3.54,4.65,4.74,1.88,6.27,3.76,3.85,5.83,1.83,1.99,,,
November,,,,,,,3.87,3.74,3.95,4.8,4.43,4.19,2.81,1.78,1.72,3.53,3.39,1.81,,,
December,,,,,,,0.86,0.78,1.98,4.77,3.89,1.69,1.49,0.67,3.55,4.14,4.08,3.22,,,
Total,,,,,,,,35.21,30.24,29.31,37.39,36.45,30.93,22.41,24.61,35.42,30.41,28.02,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is a school with the stated relationship to church and station. Altitudes match,,,,,,,,,,,,,,,,,,,,,
