COSTA SCHOOLHOUSE,,,,,,,,,,
Grid ref,HY344277,Long,-3.147921,Lat,59.131036,Elevation,115,ft,,
Station no,5827/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,2.05
August,,,,,,,,,,2.75
September,,,,,,,,,,2.74
October,,,,,,,,,,3.38
November,,,,,,,,,,4.43
December,,,,,,,,,,6.63
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5827/5,,,,,,,,,
Midas,22,,,,,,,,,
Hyd Stn,,,,,,,,,,
