KILSYTH CURRYMIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS736781,Long,-4.027274,Lat,55.979186,Elevation,200,ft,,,,,,,,,,,,
Station no,5381,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.22,4.9,8.57,4.22,2.75,5.05,3.76,6.34,6.56,7.98,4.3,3.71,4.54,,,,,,
February,,1.29,1.68,9.46,3.62,2.94,4.09,3.75,3.56,3.25,5.08,8.37,3.67,3.54,,,,,,
March,,2.26,3.23,9.25,2.35,4.97,4.9,5.89,5.28,4.71,2.36,3.18,6.02,5.55,,,,,,
April,,3.4,0.85,1.66,5.52,3.41,2.24,1.99,1.74,4.99,5.04,3.5,1.9,3.28,,,,,,
May,,2.36,1.79,2.29,4.54,3.01,5.3,3.2,3.59,3.99,2.41,2.06,2.59,3.56,,,,,,
June,,4.01,2.44,4.13,2,0.98,2,4.8,2.69,2.79,1.6,2.24,6.42,3.19,,,,,,
July,,2.69,3.45,5,2.6,3.35,2.78,3.31,5.25,4.54,5.53,3.28,2.46,,,,,,,
August,,5.08,2.74,6.7,5.25,4.63,5.56,7.04,4.88,4.37,8,4.02,4.91,,,,,,,
September,,2.22,3.02,3.62,3.84,3.14,2.84,2,8.13,2.48,1.84,2.48,3.25,,,,,,,
October,,4.85,2.5,10.25,2.24,3.2,7.21,8.28,2.12,6.18,3.52,4.5,5.18,,,,,,,
November,,3.75,2.06,3.11,2.71,4.44,5.07,2.87,4.8,3.24,4.51,7.09,4.86,,,,,,,
December,,5.05,4.27,3.58,5.58,4.55,4.67,8.19,3.95,7,5.04,5.91,8.92,,,,,,,
Total,,39.18,32.93,67.62,44.47,41.37,51.71,55.08,52.33,54.1,52.91,50.93,53.89,,,,,,,
