CHOLMONDELEY-HIGGINSFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ557523,Long,-2.6625527,Lat,53.066093,Elevation,332,ft.,,,,,,,,,,,,
Station no,2762/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,2.59,3.02,4.85,3.05,1.93,2.35,1.8,,,
February,,,,,,,,,,2.71,3.16,1.04,1.34,1.13,1.65,3.99,1.65,,,
March,,,,,,,,,,2.51,3,2,1.14,0.74,0.99,1.11,5.43,,,
April,,,,,,,,,,2.48,1.31,1.27,1.46,1.45,1,1,2.42,,,
May,,,,,,,,,,1.62,2.06,4.27,2.59,2.27,3.26,1.58,2.75,,,
June,,,,,,,,,,1.01,0.49,0.9,2.67,1.93,3.03,2.32,1.92,,,
July,,,,,,,,,,3.86,1.78,3.31,3.52,2.44,2.44,3.21,2.13,,,
August,,,,,,,,,,0.51,,2.42,3.03,-999,2.82,5.58,0.41,,,
September,,,,,,,,,,3.19,,1.83,3.3,-999,3.08,3.16,1.96,,,
October,,,,,,,,,,3.48,3.44,1.91,2.66,5.34,5.01,1.32,0.74,,,
November,,,,,,,,,,5.91,2.82,0.72,3.4,4.63,0.46,4.33,3.04,,,
December,,,,,,,,,,2.16,1.09,3.8,1.24,1.45,2.92,3.99,2.11,,,
Total,,,,,,,,,,,,26.49,31.2,31.42,28.59,33.94,26.36,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is near Higginsfield House. Altitudes match.,,,,,,,,,,,,,,,,,,,,
"Feb 1947 estimated for snow, but left in this record",,,,,,,,,,,,,,,,,,,,
