DUNGENESS (LIGHTHOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR089169,Long,0.97038,Lat,50.913746,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,247/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,2.14,4.05,2.43,1.15,1.02,2.17,3.81,0.38,1.55,1.92,1.88,0.66,1.51,0.33,1.96,2.78,0.59,1.27,2.03,2.46,1.64,3.62,0.72,1.4,1.07,3.03,1.7,2.43,3.52,1.16,3.78,1.24,1.83,3.31,3.69,3.03,1.7,2.43,3.52,1.16,3.78,1.24,1.83,3.31,3.69,2.54,1.25,3.07,1.17,1.98,2.97,3.19,2.42,2.67,0.96,2.46,2.31,1.36,2.6,2.27,1.19,4.15,4.43,3.18,5.18,2.85,2.67,2.38,3.94,1.02,1.57,1.52,2.12,3.55,1.33,1,,,,,2.16,5.59,1.48,1.91,3.03,3.02,,,,,,,,,
February,,,,,,3.11,0.68,0.61,1.54,2.58,0.97,0.05,1.5,2.47,1.4,0.18,0.19,1.33,0.76,1.42,3.78,1.6,1.11,1.77,1.63,0.78,2.02,1.26,1.4,0.59,3.36,1.56,2.1,0.95,2.78,4.02,4.14,0.74,0.67,2.4,3.36,1.56,2.1,0.95,2.78,4.02,4.14,0.74,0.67,2.4,0.52,0.32,2.04,3.19,0.57,3.76,2.86,2.95,0.91,0.73,1.52,1.59,0.46,1.39,0.08,3.19,1.85,3.76,0.73,1.15,2.15,1.56,0.8,1.04,0.94,1.39,2.01,1.21,0.97,1.03,3.4,,,,,1.43,,4.35,2.46,0.07,2.21,,,,,,,,,
March,,,,,,1.42,0.66,1.26,3.08,1.47,2.14,2.78,1.26,0.23,0.83,1.35,1.77,2.17,1.05,0.42,0.65,1.22,0.92,1.46,0.91,3.97,1.68,0.88,2.18,5.06,1.45,2.24,3.77,2.59,4.71,0.47,3.54,1.69,1.07,2.8,1.45,2.24,3.77,2.59,4.71,0.47,3.54,1.69,1.07,2.8,0.84,0.88,1.76,1.8,1.84,1.16,0.35,2.71,1.16,0.14,1.9,0.56,1.61,1.4,2.02,0.3,0.98,3.36,0.57,2.06,2.03,1.7,2.15,0.35,0.05,1.26,1.4,5.4,0.61,0.67,0.82,,,,,1.2,0.27,0.54,1.12,1.87,1.74,,,,,,,,,
April,,,,,,1.63,1.6,1.86,0.86,1.43,2.41,0.37,1.02,0.01,1.65,0.88,0.38,0.71,1.05,2.45,0.61,1.68,0.38,2.39,0.78,2.29,0.69,2.3,1.65,1.98,2.11,1.35,0.1,1.86,0.97,1.92,1.66,2.09,1.03,2.35,2.11,1.35,0.1,1.86,0.97,1.92,1.66,2.09,1.03,2.35,2.3,1.13,2.97,1.2,2.95,2.11,2.86,1.71,2.21,1.01,1,2.55,2.16,1.06,2.13,2.93,1.78,2.51,0.59,2.57,1.28,0.9,0.76,0.82,1.68,1.18,1.92,1.67,1.37,1.41,1.99,,,,,,0.68,0.35,1.26,1.53,0.86,,,,,,,,,
May,,,,,,2.04,3.29,1.75,1.04,2.32,1.02,2.87,0.16,0.39,1.38,0.1,0.11,0.51,2.36,0.99,0.7,0.61,1.26,1.02,1.25,1.29,1.91,2.37,1.36,0.9,2.45,0.65,0.8,0.69,0.92,2.96,2.64,1.65,1.49,0.31,2.45,0.65,0.8,0.69,0.92,2.96,2.64,1.65,1.49,0.31,1.37,1.22,0.25,3.89,2.56,2.07,1.55,0.55,1.85,1.73,3.4,2.22,3.11,1.28,0.5,1.02,0.12,3.04,2.03,0.88,1.33,1.96,2.38,1.35,0.54,1.61,2.53,0.7,2.08,1.52,0.72,,,,,4.04,0.74,1.44,1.88,0.66,1.78,,,,,,,,,
June,,,,,,1.12,1.13,0.56,1.76,0.41,1.55,1.6,2.08,0.37,1.5,0.22,2.3,0.78,1.04,0.74,1.53,1.26,1.42,1.94,0.65,5.92,1.87,2.18,1.17,3.09,2.05,2.26,3.39,0.65,0.92,0.19,2.85,2.36,0.59,0.41,2.05,2.26,3.39,0.65,0.92,0.19,2.85,2.36,0.59,0.41,0.76,-999,1.71,0.61,1.22,0.17,2.56,3.45,1.9,1.6,1.1,0.58,1.36,1.81,0.69,1.48,2.85,1.52,0.57,1.55,0.54,1.67,0.15,1.54,1.47,0.59,1.56,2.26,1.12,0.5,0.88,,,,,1.91,1.8,0.49,3.49,0.88,1.37,,,,,,,,,
July,,,,,,0.15,2.93,1,3.05,2.63,2.74,2.16,1.56,2.64,4.03,2.51,0.58,0.63,0.38,0.95,0.45,1.43,0.81,3.14,1.05,1.35,0.4,1.29,3.02,2.81,3.59,0.34,2.16,1.72,2.12,2.95,0.7,3.78,2.64,1.79,3.59,0.34,2.16,1.72,2.12,2.95,0.7,3.78,2.64,1.79,2.35,0.22,1.89,1.1,2.46,2.31,1.92,4.19,1.33,1.07,3.5,2.79,3.62,0.92,0.82,0.27,4.11,1.19,1.51,2.84,1.5,2.65,2.32,1.46,2.16,1.96,2.3,1.76,1.43,0.58,2.48,,,,,0.84,3.05,3.02,1.95,1.07,2.42,,,,,,,,,
August,,,,,,0.64,1.58,1.67,1.55,1.77,3.26,4.6,1.46,1.95,1.26,1.77,1.98,3.38,1.62,0.72,2.45,1.79,2.84,2.5,1.43,3.02,0.49,1.37,3.52,3.31,1.8,0.64,4.48,2.28,1.07,0.98,1.3,5.43,1.34,1.41,1.8,0.64,4.48,2.28,1.07,0.98,1.3,5.43,1.34,1.41,1.2,1.01,1.62,1.85,3.19,1.12,1.31,4.04,1.37,1.76,3,2.97,0.5,0.81,2.75,5.36,1.85,1.29,2.93,1.43,0.1,2.89,1.4,1.33,2.2,1.29,4.16,0.13,2.31,1.09,3.02,,,,,2.45,3.42,1.7,2.67,0.74,5.55,,,,,,,,,
September,,,,,,3.97,2.06,3.24,1.65,1.1,0.82,1.13,1.79,3.33,2.68,0.83,4.28,1.66,0.46,2.93,0.92,0.99,0.88,1.69,1.68,2.03,1.52,0.48,2.28,3.4,0.43,1.09,2.75,2.04,1.02,1.92,0.76,0.63,4.92,0.42,0.43,1.09,2.75,2.04,1.02,1.92,0.76,0.63,4.92,0.42,2.5,0.33,3.07,1.93,1.7,2.44,0.5,3.84,0.3,0.75,2.5,1.74,2.06,5.05,0.79,3.5,2.72,2.77,2.24,1.12,2.06,0.16,2.72,1.75,2.77,1.27,2.39,1.12,2.59,3.23,2.11,,,,,,2.37,2.91,2.02,0.19,2.5,,,,,,,,,
