BRIDPORT PORTVILLE,,,,,,,,,,,,
Grid ref,SY466918,Long,-2.757870,Lat,50.723357,,,,,,,
Station no,RR7312,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.54,2.42,,2.95,3.84,0.70,,,,,,
February,4.92,1.04,,1.74,4.32,0.61,,,,,,
March,1.27,1.84,,4.14,1.30,4.18,,,,,,
April,1.34,2.71,,3.48,1.13,1.96,,,,,,
May,1.63,1.33,,2.78,2.92,0.35,,,,,,
June,2.65,1.56,,1.29,0.97,1.80,,,,,,
July,0.89,2.59,,2.83,3.93,0.52,,,,,,
August,1.81,2.03,,4.13,3.58,4.10,,,,,,
September,0.83,3.99,,4.78,2.07,1.36,,,,,,
October,2.25,3.29,,5.93,1.96,2.10,,,,,,
November,3.48,0.41,,1.18,1.73,4.18,,,,,,
December,4.78,5.73,,3.03,3.28,0.74,,,,,,
Total,30.39,28.94,,38.26,31.03,22.60,,,,,,
Calc annual,30.39,28.94,0.00,38.26,31.03,22.60,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
