"CULLODEN HOUSE, INVERNESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 719 465,Long,-4.138627,Lat,57.490445,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.76,0.63,2.27,2.13,1.22,1.06,0.68,0.99,3.59,0.9,1.66,4.45,2.22,0.91,1.22,1.98,1.94,2.71,3.3,1.3,1.42,1.79,6.02,0.45,2.72,2.42,5.07,5.58,2.21,1.16,1.74,2.54,1.52,2.45,2.63,0.88,2.39,1.85,0.53,1.49,0.64,2.43,1.66,3.74,1.47,2.26,0.94,1.27,0.28,3.39,1.31,1.73,0.97,1.2,2.19,,,,
February,,0.44,2.35,0.79,2.58,1.16,1.73,0.55,4.03,2.44,3.03,0.2,2.14,1.69,1.46,2.1,2.48,0.79,0.39,1.73,1.22,0.8,1.33,1.94,2.7,3.27,2.41,1.8,3.88,2.76,0.78,0.99,0.52,0.82,0.52,0.71,2.08,3.12,0.55,0.44,1.59,1.85,2.14,1.78,1.53,2.93,1.22,1.59,1.2,2.53,0.53,1.31,1.92,2.96,3.15,0.15,,,,
March,,1.37,2.36,0.6,1.98,2.28,1.56,0.63,1.75,0.78,0.69,2.58,0.36,0.23,0.53,1.84,0.13,1.37,1.73,2.65,3.14,2.53,1.48,0.78,2.39,1.45,1.29,0.93,2.05,0.94,0.28,1.72,0.84,1.5,1.71,1.78,4.01,1.66,1.39,2.57,1.32,1.25,3.23,1.52,1.37,1.31,0.48,1.13,2.66,1.12,2.57,1.05,1.48,0.56,1.4,2.47,,,,
April,,1.56,0.15,1.16,0.52,0.26,3.57,1.82,1.37,0.42,0.43,0.17,0.18,0.78,0.69,1.72,2.75,0.83,0.82,2.14,1.5,1.19,0.93,3.06,1.04,1.08,1.01,2.93,2.26,1.48,0.93,1.96,0.92,0.87,1.6,0.99,2.28,1.88,0.37,1.67,1.05,0.2,2.43,0.97,0.52,0.9,0.78,1.26,1.06,1.22,0.49,0.5,0.61,1.13,0.17,1.29,,,,
May,,1.04,0.99,2.12,0.43,1.67,0.74,2.08,1.26,0.89,2.4,1.2,0.61,0.99,2.17,0.97,2.58,0.68,2.55,0.08,1,1.08,2.65,1.18,1.76,1.71,1.34,1.59,1.14,2.01,0.74,0.45,3.63,3.18,1.59,0.86,0.7,2.37,1.62,2.69,0.55,1.64,0.86,1.23,1.82,2.96,3.29,0.95,0.99,0.72,0.68,2.06,1.72,0.57,3.01,1.62,,,,
June,,2.32,2.25,1.52,2.05,2.68,3.3,3.97,3.61,2.36,1.01,1.51,2.25,2.63,1.36,1.09,3.13,2.89,2.35,1.36,2.18,2.77,2.92,1.91,1.67,0.08,0.63,2.38,0.78,1.69,1.69,0.92,4.94,1.45,0.78,1.58,2.12,3.18,2.29,3.55,1.14,1.24,2.15,0.89,0.98,0.81,0.71,0.25,1.32,0.11,1.91,0.25,2.24,1.96,1.35,3.98,,,,
July,,3.68,2.05,4.23,2.45,2.77,3.72,1.75,1.97,3.72,1.26,1.78,2.46,1.87,2.68,5.73,2.38,2.42,4.17,2.27,1.81,4.35,2.57,0.34,1.9,5.03,3.07,2.71,0.4,0.44,1.33,4.02,3.14,3.5,1.92,3.33,2.24,2.81,1.59,3.9,5.98,3.74,1.97,4.24,3.86,0.48,2.22,2.29,3.57,1.57,3.45,6.51,1.52,2.76,3.38,2.57,,,,
August,,4.36,0.37,1.96,4.26,3.86,2.79,2.71,2.21,2.07,3.24,1.51,2.13,2.08,2.44,1.38,1.63,0.86,3.2,1.68,2.93,2.99,2.42,6.67,1.09,3.37,2.42,2.03,6.62,1.48,0.97,1.82,2.41,1.98,6.4,2.06,1.5,5.06,4.42,3.39,0.55,3.16,1.51,2.96,1.35,1.89,0.88,1.28,1.56,4.83,3.74,2.6,3.12,2.39,4.4,2.77,,,,
September,,1.58,4.88,0.51,1.94,1.61,1.53,1.51,0.34,3.09,1.65,0.58,2.43,2.31,1.59,0.71,5.15,4.16,0.89,1.74,1.23,5.89,1.27,4.57,2.73,0.42,3.07,1.31,3.55,3.76,2.11,2.9,3.76,5.57,2.73,2.65,3.64,1.41,2.89,1.4,1.46,1.51,6.48,3.27,0.74,3.18,2.49,3.36,0.91,1.15,1.71,2,2.43,3.04,0.69,1.84,,,,
October,,4.39,2.95,3.9,1.56,4.32,4.12,1.51,3.42,1.08,3.06,1.44,1.34,3.65,3.21,1.84,0.49,0.62,2.79,3.49,2.46,1.24,2.65,2.24,5.1,2.28,1.94,2.76,1.9,3.31,2.32,1.01,3.37,2.3,2.88,1.33,2.53,3.79,2.11,1.24,3.05,3.36,1.79,1.74,1.7,1.58,1.74,2.84,2.31,2.36,3.73,0.81,5.37,3.33,1.17,2.5,,,,
November,,1.9,2.51,2.69,3.63,2.12,2.41,2.38,2.77,1.79,3.39,1.59,2.23,0.76,2.73,0.32,1.74,2.63,0.95,2.22,1.53,5.64,2.43,2.2,1.79,1.98,2.64,0.92,1.31,2.91,2.23,2.35,4.34,3.18,1.71,3.09,1.76,2.67,2.94,2.79,3.17,3.73,2.2,2.48,2.93,0.72,2.31,1.83,3.73,1.86,1.93,0.34,1.31,3.37,0.29,1.7,,,,
December,,4.82,2.2,1.08,0.26,3.68,1.77,2.74,0.99,0.92,1.86,0.66,5.85,0.74,3.28,2.01,1.66,2.62,2.27,3.4,1.21,1.51,2.19,2.97,2.14,1.57,3.86,1.88,2.15,2.67,2.98,0.88,1.44,2.51,1.02,2.33,1.92,2.68,1.3,1.31,2.3,1.22,2.72,2.46,2.66,2.56,2.56,1.35,0.48,0.97,0.55,2.48,1.37,1.38,1.05,0.8,,,,
Total,23.1,29.22,23.69,22.83,23.79,27.63,28.3,22.33,24.71,23.15,22.92,14.88,26.43,19.95,23.05,20.93,26.1,21.81,24.82,26.06,21.51,31.41,24.63,33.88,24.76,24.96,26.1,26.31,31.62,25.66,17.52,20.76,31.85,28.38,25.31,23.34,25.66,33.02,23.32,25.48,23.65,23.54,29.91,25.2,23.2,20.79,20.94,19.07,21.06,18.72,24.68,21.22,24.82,24.42,21.26,23.88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
