LOWESTOFT-GISLEHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM514886,Long,1.6973067,Lat,52.4375,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.17,2.4,0.68,3.09,,3.39,1.87,1.72,1.1,0.77,3.03,1.58,0.79,1.59,1.46,2.75,1.72,1.1,0.18,1.2,1.28,1.61,1.53,1.79,2.3,,0.5,0.67
February,,,0.72,0.39,1.31,2.3,,1.4,1.91,2.53,0.58,1.7,0.83,1.41,1.17,0.83,2.46,2.36,1.09,2.67,1.83,2.61,1.72,2.14,1,2.19,-999,,2.5,0.8
March,,,3.63,0.7,2.72,2.5,,1.23,1.31,3.61,1.65,0.97,3.24,1.44,0.87,0.59,2.62,2.37,1.58,1.06,1.05,1.64,1.47,1.34,1.07,1.04,-999,,3,1.61
April,,,1.23,0.72,0,0.39,,1.77,1.99,0.59,0.74,3.54,1.97,1.01,0.78,0.66,1.68,1.83,0.91,2.16,1.46,0.93,3.02,1.75,1.52,1.87,0.73,,0.99,2.1
May,,,1.95,0.61,2.08,1.14,,3.92,0.87,2.02,1.02,0.91,2.66,1.72,1.46,1.76,0.74,1.76,3.12,2.13,0.99,1.09,1.6,1.83,0.84,2.67,1.66,,1.19,2.55
June,,,2.29,3.72,1.32,0.92,,0.85,0.2,1.55,1.24,2.43,3.08,1.19,2.07,1.83,2.04,1.95,1.43,2.44,2.15,1.98,3.07,2.22,0.78,0.77,0.58,,0.48,2.51
July,,,1.9,1.03,0.74,4.24,,2.3,0.51,1.64,2.02,2.26,3.35,1.88,1,4.4,1.88,3.64,0.78,5.61,4.95,1.13,3.21,4.03,2.12,0.52,3.87,,5.63,2.33
August,,,2.58,1.01,0.99,6.91,,1.17,1.46,2.42,2.74,0.4,2.22,0.95,2.4,0.56,1.3,2.67,3.4,3.86,1.9,4.16,1.6,0.67,0.59,0.41,1.58,,2.25,1.99
September,,,1.28,1.92,2.15,0,,1.2,1.84,2.44,1.8,4.01,1.48,2.39,3.3,2.17,4.49,2.1,2.45,3.69,2.97,2.54,2.49,2.59,4.89,5.55,0.76,,2.08,3.46
October,,,2.38,2.37,1.03,7.16,,2.51,2.19,3.82,3.72,1.44,2.85,2.92,1.62,2.79,0.75,1.71,1.66,0.96,3.76,3.01,4.67,2.4,3.5,5.65,2.79,,1.85,3.78
November,,,1.82,1.43,1.92,1.83,,1.18,2.08,2.51,0.82,2.39,4.68,0.75,2.57,5.33,3.94,3.61,7.36,2.55,2.23,1.75,3.52,3.56,2.07,2.52,2.68,,2.19,1.59
December,,,1.78,1.18,0.71,1.51,,2.27,4,3.54,3.74,1.16,3.16,0.59,2.65,1.33,3.27,2.43,1.9,0.38,2.33,3.14,3.77,1.95,2.05,1.33,3.28,,1.18,1.17
Total,,,22.73,17.48,15.65,31.99,28.39,23.19,20.23,28.39,21.17,21.98,32.55,17.83,20.68,23.84,26.63,29.18,27.4,28.61,25.8,25.18,31.42,26.09,21.96,26.31,22.2,,23.84,24.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 Jan Feb -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
