BAVERSTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU028315,Long,-1.9613,Lat,51.0837,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.27,2.7,2.7,1.15,1.37,7.42,1.3,2.9,4.69,0.75,2.28,4.6,3,2.4,4.25,1.45,2.9,4.7,2.55,2.4,2.6,1.55,4.9,6.5,3.4,2.4,0.75,3.35,2.5,0.75,1.5,3.35,0.5,3.25,3.8,1.4,4.15,5.05,4.15,3.45,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.08,1.2,1.95,0.82,6.21,1.4,3.25,3,4.56,2,1.4,3.3,2.7,2.9,3.32,3,1.35,1.75,1.45,3.7,2.25,2.35,1.05,1.35,1.15,1.05,1.65,1.8,1.5,1.35,2.7,1.15,2.55,0.4,0.9,1.4,2.1,4.1,2.85,1.13,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.83,0.46,3.15,2,1.45,0.8,2.65,5.8,1.05,1.5,2.3,0.1,3.2,3.8,1.2,3.9,0.9,2.15,2.4,3,0.85,0.1,3.55,0.45,1.05,0.4,2.05,1.2,2.6,1.7,1.55,2.7,2.85,4.35,1.05,2.95,1.05,2.75,4.6,1.85,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,5.75,3.42,2,2.52,2.66,0.6,0.8,3.5,1.5,1.1,1.16,0.44,1.6,0,3.1,0.5,1.25,3.75,1.9,3.8,3.45,4.4,1.35,1,2.35,0.25,0.7,3.9,2.4,2.8,3.2,1.75,0.25,1.8,0.9,2.4,0.9,2.4,1.9,2.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.33,3.81,1.45,2.07,0.75,0.75,1.65,0.4,0.75,2.3,0.56,3.2,2.45,1.66,4.4,0.15,1.65,2,2.25,0.8,2.6,2.8,1.15,2,1.9,3,2.45,2.8,1.55,2.2,2.3,3.3,1.65,5,1.75,1.45,3,1.35,1.9,1.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,4.34,3.85,1.4,1.33,3.3,2.75,1.85,1.1,1.5,3.72,2.8,1.2,1.98,2,2.55,1.05,2.15,1.9,1.9,5.5,1.25,2.45,2.2,4.9,2.45,2.35,1.8,1.35,1.9,0.75,2.05,6.75,2.5,2.45,5.3,1.25,2.2,1.9,1.2,0.4,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.24,3.1,1.81,1.35,1.25,6.6,0.25,3.1,2.89,1.2,5.58,2.3,1.52,1.5,2.6,1.3,1.7,3,1.65,3.45,1.95,2.9,3.3,3.55,3.7,1.9,4.3,0.9,2.1,2.1,3.15,1.5,4.05,2.6,1,0.4,1.7,1.4,3.5,0.65,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.92,2.15,3.4,3.36,0.95,1.94,1.95,1.52,2.1,2,2.26,1.6,2.35,1.85,2.95,2.6,2.7,4.3,0.75,3.15,1,1.95,2.9,5.15,3.9,0.95,1.15,3.6,1.75,1.85,3.4,4.9,0.6,1.25,3.5,1.15,2.8,2.4,2,5.6,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.65,4.6,2,0.65,2.05,2.84,3.5,3.2,2.47,5,5.64,2.18,7.52,3.1,0.8,1.5,3.6,2.2,1.5,3.7,3.45,2.25,0.4,4.1,3.15,0.65,1.95,3.35,1.7,1.25,3.65,3.05,3.15,2.1,3.55,2.5,0.1,6.8,2.45,5.15,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.15,0.75,4.4,5.7,3.8,0.8,7,3.76,2.62,3.45,4.18,1.1,4.51,0.85,4.2,4.85,1.5,5,5.25,5.1,2.2,1.5,2.8,4.35,4.15,3.15,5.5,3.5,5.15,1.25,4.85,2,1.4,4.3,4.2,2.1,6.8,1.51,3.46,2.63,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.95,4.52,2.92,5.8,2.95,2.35,5.6,5.62,1.56,5.58,4.28,6.32,5.7,7,2.65,3.8,4,2.2,2,2.4,1.85,2.45,0.8,9.2,1.8,2,0.75,1.4,1.7,2.5,3.4,2.7,5,0.55,1.85,2.45,4.2,2.25,0.7,2.05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,0.86,4,5.37,3.4,6.42,1.65,1.18,3.69,3.5,4.28,4,0.15,2.88,1.95,0.85,0.5,2.8,0.85,5.45,4.75,3.95,2.3,2.1,4,1.4,1.55,1.65,2.7,0.55,3.2,3.4,4.3,2.25,2.25,2.65,1.95,2.1,2.65,1.16,6.35,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,29.37,34.56,32.55,30.15,33.16,29.9,30.98,37.59,29.19,32.88,36.44,26.49,39.41,29.01,32.87,24.6,26.5,33.8,29.05,41.75,27.4,27,26.5,46.55,30.4,19.65,24.7,29.85,25.4,21.7,35.15,37.45,26.75,30.3,30.45,21.4,31.1,34.56,29.87,33.31,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1865 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1866 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
