SHEFFIELD WW RIVELIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK287869,Long,-1.570043,Lat,53.378179,Elevation,564,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,1.86,4.67,5.49,2.76,1.95,3.74,3.52,1.44,4.81,1.57,2.28,2.4,3.25,1.56,4.94,3.9,1.88,5.13,2.07,2.59,3.02,4.34,3.11,4.06,4.86,2.3,2.28,4.45,4.04,2.48,7.83,1.87,6.03,3.8,3.48,2.66,4.05,2,4.27,6.37,4.12,6.29,3.4,4.82,3.33,4.9,4.52,3.76,4.76,3.68,7.95,1.73,1.44,3.39,4.79,0.87,3.19,2.67,6.37,2.36,3.81,3.77,6.15,,,,,,,,
February,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,3.55,2.09,4.48,1.32,1.69,2.71,5.44,1.99,3.82,2.25,2.67,0.95,4.77,3.49,1.88,1.4,2.56,5.16,5.98,0.51,2.66,2.12,3.33,0.27,3.64,7.25,1.49,5.51,2.74,1.67,4.93,0.6,1.18,4.53,0.46,5.49,0.37,5.11,3.44,6.67,1.64,2.85,2.64,4.52,1.38,2.56,2.57,3.46,5.26,3.39,3.07,2.11,6.53,4.57,1.14,2.23,2.82,2.57,1.22,3.64,5.34,0.09,3.02,,,,,,,,
March,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.59,1.04,3.2,1.87,4.33,2.05,3.59,2.67,3.31,3.64,4.06,1.11,1.41,4.56,4.64,3.84,1.21,4.89,2.55,1.58,5.03,2.73,2.71,2.28,2.48,0.96,1.52,1.71,4.32,3.31,0.19,3.57,0.3,2.58,3.2,4.1,1.68,2.89,4,0.63,2.97,2.86,6.04,2.14,1.47,0.51,0.72,1.59,5.55,1.5,1.48,1.25,4.86,2.31,2.2,2.62,3.75,1.48,2.74,2.79,1.81,2.68,,,,,,,,
April,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,3.26,3.07,1.46,2.33,3,1.95,2.42,3.07,1.14,2.2,2.92,2.1,3.4,2.1,0.83,3.52,1.55,1.35,2.19,1.77,1.26,2.06,5.15,1.41,4.55,3.11,2.12,3.47,2.04,3.35,1.51,1.52,3.4,4.63,4.39,1.16,2.97,3.52,2.02,2.21,0.29,2.58,3.39,2.24,1.9,2.49,2.58,2.09,1.51,4.23,2.16,3.32,4.29,1.53,1.96,3.18,0.59,1.02,2.48,0.09,0.99,4.09,2.08,,,,,,,,
May,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,3.19,2.86,1.44,1.15,3.26,3.33,2.61,0.46,2.46,4.28,3.35,1.98,2.92,0.89,3.69,2.81,1.61,1.88,2.64,2.1,2.48,1.6,3.3,1.34,0.85,4.25,4.23,3.99,3.38,1.39,1.07,2.19,2.23,2.97,6.32,2.45,2,0.54,1.76,3.45,2.91,1.97,0.95,3.22,4.65,3.47,3.46,3.28,2.74,3.1,1.86,1.87,1.92,4.05,3.02,2.5,5.74,4.25,0.62,1.36,3.64,1.21,1.96,,,,,,,,
June,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,1.49,2.32,3.21,1.14,1.57,1.27,0.68,3.44,2.48,5.12,1.82,3.74,3.52,2.55,3.66,1.02,2.99,1.56,2.5,1.71,0.94,0.63,3.53,0.2,1.4,0.68,1.97,0.1,3.34,4.55,3.46,1.65,1.48,4.83,0.95,1.71,1.67,3.64,3.75,0.95,2.61,2.22,0.73,0.49,1.05,2.15,2.64,3.63,4.85,2.9,4.13,0.85,1.37,1,1.66,2.32,2.67,3.42,3.56,1.36,4.53,1.39,1.91,,,,,,,,
July,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,1.32,1.99,4.23,3.43,2.03,2.54,1.71,2.18,1.85,2.55,3.05,3.58,2.62,0.14,6.19,1.35,2.43,4.67,1.8,1.28,3.18,3.93,4.93,0.55,3.97,4.58,3.87,1.54,2.6,2.45,1.08,1.55,5.92,4.52,5.15,2.42,2.38,0.98,3.91,2.84,3.73,6.6,2.96,3.49,2.6,1.13,2.96,1.89,2.78,2.33,1.26,4.29,2.07,1.27,1.52,3.1,2.41,1.34,6.31,3.74,5.49,2.23,3.78,,,,,,,,
August,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,3.74,1.31,5.21,1.6,5.06,5.16,4.06,5,1.86,2.87,3.35,2.16,4.08,2.03,6.76,1.67,1.23,2.58,1.82,4.83,1.35,3.24,1.11,5.06,7.16,3.68,4.42,3.21,2.86,3.8,3.27,2.67,3.07,6.68,2.54,0.5,1.53,1.97,1.49,0.78,2.52,2.78,0.56,3.6,4.44,3.05,2.94,3.03,5.04,0.49,5.07,1.77,3.39,4.97,2.18,2.94,7.01,1.12,6.47,5.92,2.09,1.01,4.11,,,,,,,,
September,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,0.63,4.67,0.58,0.97,1.8,4.69,1.36,1.61,0.92,0.45,2.08,2.76,0.38,2.28,1.38,3.01,2.03,0.87,1.55,1.29,8.03,3.13,1.5,1.03,2.94,3.07,4.11,3.18,1.92,5.19,0.4,1.7,6.12,4.56,2.29,1.53,2.15,5.01,3.73,1.47,3.05,1.84,2.09,0.33,1.86,3.79,5.03,1.52,5.7,1.81,1.87,1.35,4.25,1.88,3.64,1.67,3.38,1.35,4.27,4.97,3.56,0.08,4.29,,,,,,,,
October,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,4.15,3.59,3.08,2.58,4.09,7.51,0.62,2.3,6.37,6.56,1.28,3.83,2.44,2.9,3.17,5.06,2.66,2.03,4.07,4.87,2.27,3.26,2.3,2.6,1.06,2.75,5,4.27,3.84,3.37,6.05,4.44,4.17,1.09,5.65,5.77,3.8,6.84,4,3.48,6.02,4.63,4.63,4.57,3.21,2.3,3.96,6.18,1.73,0.68,1.7,3.63,1.61,1.21,5.8,2.05,4.25,2.55,1.91,2.03,2.78,2.63,8.2,,,,,,,,
