ALLT-MEAL-NAN-DAMH,,,,,,,,,,,,
Grid ref,NN663317,Long,-4.171223,Lat,56.458427,,,,,,,
Station no,5555/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.60,3.98,4.10,11.21,5.60,4.05,6.95,,
February,,,,6.12,2.75,2.03,7.25,3.02,2.95,7.13,,
March,,,,7.40,1.25,3.70,6.02,1.25,6.05,3.05,,
April,,,,1.75,2.55,2.19,1.75,2.05,5.75,8.05,,
May,,,,7.50,4.15,3.96,3.05,4.03,1.75,4.05,,
June,,,,3.25,2.05,4.50,1.98,4.02,3.02,2.50,,
July,,,,2.75,1.04,6.15,4.02,5.00,6.00,4.00,,
August,,,,4.00,1.25,6.70,5.62,6.03,3.02,5.05,,
September,,,,8.00,4.75,7.54,3.15,6.01,1.50,4.05,,
October,,,,10.84,4.98,3.95,4.96,5.00,7.05,7.00,,
November,,,12.05,13.75,3.75,3.00,2.01,1.50,11.00,10.50,,
December,,,8.50,10.05,10.28,11.70,9.78,10.50,15.02,9.55,,
Total,,,,84.01,42.78,59.52,60.80,54.01,67.16,71.88,,
Calc annual,0.00,0.00,20.55,84.01,42.78,59.52,60.80,54.01,67.16,71.88,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
