ALLT-MEAL-NAN-DAMH,,,,,,,,,,
Grid ref,NN663317,Long,-4.171223,Lat,56.458427,Elevation,1500,ft,,
Station no,5555/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.6,3.98,4.1,11.21,5.6,4.05,6.95
February,,,,6.12,2.75,2.03,7.25,3.02,2.95,7.13
March,,,,7.4,1.25,3.7,6.02,1.25,6.05,3.05
April,,,,1.75,2.55,2.19,1.75,2.05,5.75,8.05
May,,,,7.5,4.15,3.96,3.05,4.03,1.75,4.05
June,,,,3.25,2.05,4.5,1.98,4.02,3.02,2.5
July,,,,2.75,1.04,6.15,4.02,5,6,4
August,,,,4,1.25,6.7,5.62,6.03,3.02,5.05
September,,,,8,4.75,7.54,3.15,6.01,1.5,4.05
October,,,,10.84,4.98,3.95,4.96,5,7.05,7
November,,,12.05,13.75,3.75,3,2.01,1.5,11,10.5
December,,,8.5,10.05,10.28,11.7,9.78,10.5,15.02,9.55
Total,,,,84.01,42.78,59.52,60.8,54.01,67.16,71.88
,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 NP,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,
BR 1957 NP Low,,,,,,,,,,
BR 1958 NP Low,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5555/9,,,,,,,,,
Midas,15108,,,,,,,,,
Hyd Stn,861501,,,,,,,,,
