HOUGHTON HALL,,,,,,,,,,,,,
Grid ref,SE895394,Long,-0.641,Lat,53.843,Elevation,175,ft,,,,,
Station no,RR4299,,,,,,,,,,,,
,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896
January,2.93,2.32,2.54,1.31,1.20,1.68,2.32,1.42,1.75,1.92,1.72,4.00,0.75
February,1.55,2.18,2.30,0.57,1.53,1.44,1.41,0.13,2.42,2.10,2.39,0.50,0.60
March,1.77,1.90,2.17,1.42,3.12,2.81,1.19,1.13,0.20,0.51,0.83,2.22,1.84
April,,1.11,1.84,0.93,2.36,2.98,0.90,1.79,1.59,0.30,1.59,1.27,0.73
May,,2.10,4.35,1.95,0.62,3.68,2.53,1.87,3.81,1.35,2.05,0.36,0.65
June,0.48,2.66,0.81,0.00,2.29,0.46,2.90,1.02,3.55,1.31,4.29,2.97,2.30
July,1.95,1.08,3.15,1.45,5.28,2.06,1.81,2.73,1.89,1.81,2.18,6.66,1.41
August,0.98,1.76,2.49,2.33,2.99,3.71,3.58,3.69,2.42,1.93,1.78,1.51,1.42
September,0.98,3.12,1.18,2.79,1.30,1.09,2.03,1.08,0.86,2.12,0.62,1.19,2.95
October,0.98,6.02,3.33,2.32,1.19,4.37,1.58,3.35,6.28,2.25,3.66,3.23,
November,0.87,2.03,1.57,1.90,3.43,0.72,3.46,3.62,1.75,3.29,1.28,1.89,
December,2.51,1.17,3.10,1.14,1.81,1.35,1.09,2.42,1.00,2.49,2.12,2.58,
Total,,27.45,28.83,18.11,27.12,26.35,24.80,24.25,27.52,21.38,24.51,28.38,
,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/014,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/123,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# Approximate grid reference based on the church directions, which place the site about 800m east of Houghton Hall.",,,,,,,,,,,,,
"# The observer lived at the Presbytery, midway between the grid reference and Houghton Hall.",,,,,,,,,,,,,
