HECKFIELD-PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU730608,Long,-0.95277,Lat,51.34219,Elevation,262,ft,,,,,,,,,,,,
Station no,RR8735,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.57,2.75,2.68,3.45,2.31,0.76,,,,,,2.9,,,,,
February,,,,4.03,1.43,2.65,0.43,0.72,1.05,,,,,,1.63,,,,,
March,,,,0.9,1.38,1.97,1.73,1.76,3.13,,,,,,1.14,,,,,
April,,,,1.16,1.75,1.24,1.73,1.24,1.87,,,,,,1.74,,,,,
May,,,,1.86,0.18,2.88,3.6,1.56,1.67,,,,,,0.88,,,,,
June,,,,1.74,2.01,1.96,0.94,1.46,2.35,,,,,,2.33,,,,,
July,,,,2.61,2.28,0.26,1.83,0.72,5.33,,,,,,3.75,,,,,
August,,,,0.61,0.94,1.89,0.82,1.96,1.51,,,,,,2.32,,,,,
September,,,,1.71,2.13,3.9,1.72,1.81,1.32,,,,,,2.09,,,,,
October,,,,1.29,0.1,3.06,4.25,1.23,1.31,,,,,,3.76,,,,,
November,,,,2.46,1.21,3.44,3.27,3.97,4.37,,,,,,5.3,,,,,
December,,,,0.52,2.89,1.09,3.14,1.28,1.45,,,,,,2.44,,,,,
Total,,,,21.46,19.05,27.02,26.91,20.02,26.12,,,,,,30.28,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer lived at Garden Cottage Assumed to be gardener at Heckfield Place as cottage on edge of estate,,,,,,,,,,,,,,,,,,,,
Distance suggests gauge was at cottage but elevation also matches with gardens SE of Heckfield Place House,,,,,,,,,,,,,,,,,,,,
1889 Observer died,,,,,,,,,,,,,,,,,,,,
