FRODSHAM-FIR-GROVE,,,,,,,,,,
Grid ref,SJ504755,Long,-2.7452448,Lat,53.274151,Elevation,125,ft.,,
Station no,RR4023,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.92,,,
February,,,,,,,1,,,
March,,,,,,,3.86,,,
April,,,,,,,1.46,,,
May,,,,,,,0.6,,,
June,,,,,,,3.22,,,
July,,,,,,,3.06,,,
August,,,,,,,3.07,,,
September,,,,,,,3.95,,,
October,,,,,,,3.53,,,
November,,,,,,,1.58,,,
December,,,,,,,4.13,,,
Total,,,,,,,31.38,,,
,,,,,,,,,,
NGR is Fir Grove. Altitude is from OS map.,,,,,,,,,,
