FRODSHAM-FOXHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ506754,Long,-2.7422303,Lat,53.273271,Elevation,230,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,3.16,1.65,1.87,2.62,1.18,4.2,2.66,1.72,0.53,0.47,2.44,3.09,2.84,1.58,4.38,,1.31,0.69,2.57,1.26,2.68,1.35,,,,,,
February,,,1.93,0.36,0.92,1,2.19,2.71,1.29,2.45,1.63,3.71,2.58,1.82,2.13,2.09,0.98,,0.99,1.8,0.6,0.18,1.5,2.82,,,,,,
March,,,2.45,2.79,1.13,0.54,2.13,2.95,1.23,0.9,1.37,2.85,1.8,1.42,2.16,1.89,1.74,,1.96,1.73,1.72,1.26,1.1,0.6,,,,,,
April,,,3.16,0.91,0.94,0.36,2.3,2.2,1.91,3.04,1.49,1.38,2.98,0.93,1.15,1.67,1.43,,0.82,3.14,1.39,1.89,1.25,0.61,,,,,,
May,,,2.2,1.88,1.42,1.87,0.79,2.88,4.28,2.58,2.59,3.06,1.53,0.82,1.54,1.54,7.67,,0.62,2.38,1.83,2.49,2.98,1.36,,,,,,
June,,,4.62,2,0.92,2.65,2.43,1.69,3.61,3.9,2.11,2.51,4.41,3,2.04,2.62,2.01,,2.07,0.39,2.73,4.81,3.37,2.12,,,,,,
July,,,6.77,2.83,2.7,4.7,2.12,7.23,1.33,3.55,5.98,2.67,4.37,2.59,2.83,1.59,2.66,,6.14,2.95,1.88,3.12,2.28,2.97,,,,,,
August,,,3.6,2.84,3.77,2.16,2.6,4.44,5.01,6.13,2.01,5.3,2.89,2.31,1.52,2.21,1.83,,3.33,4.8,3.89,3.78,3.78,2.52,,,,,,
September,,4.34,5.53,2.11,2.55,5.71,3.98,2.76,3.56,3.37,2.67,2.32,3.07,4.66,2.33,4.01,3.84,,1.29,2.81,0.96,3.49,3.26,2.58,,,,,,
October,,3.51,5.67,3,2.56,4.74,2.02,2.49,2.72,1.74,5.02,2.78,3.05,4.99,1.15,6.49,4.48,,1.02,2.96,2.38,3.29,5.9,2.41,,,,,,
November,,1.23,3.04,1.86,3.25,3.41,4.28,4.01,2.06,0.99,2.85,2.66,4.21,2.56,1.89,2.96,2.46,,4.75,2.18,4.76,2.92,1.77,1.33,,,,,,
December,,1.67,3.37,0.62,2.05,0.76,4.44,2.59,2.34,1.54,5.22,3.03,4.04,1.45,2.06,1.35,4.28,,1.71,2.17,0.61,3.52,2,3.18,,,,,,
Total,,,45.5,22.85,24.08,30.52,30.46,40.15,32,31.91,33.47,32.74,37.37,29.64,23.64,30,37.76,,26.01,28,25.32,32.01,31.87,23.85,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Foxhill. Altitudes match. The observer, J Reynolds, died in 1894 and his widow moved to Fir Grove and was observer for 1896. Altitude of 330 quoted on some records but does not fit either location, but gauge could be 200m E to match altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
