UPPINGHAM AYSTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6358,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.50,2.00,1.80,2.40,2.00,,,,,,,
February,1.40,4.30,1.95,3.19,0.77,,,,,,,
March,1.25,1.55,1.22,1.46,0.85,,,,,,,
April,2.10,0.90,3.70,2.90,1.86,,,,,,,
May,1.55,1.60,1.00,2.50,1.15,,,,,,,
June,3.40,2.10,3.75,2.65,0.90,,,,,,,
July,7.20,1.80,3.85,4.36,5.10,,,,,,,
August,1.30,5.14,1.50,1.10,1.85,,,,,,,
September,4.11,2.15,2.15,5.92,1.31,,,,,,,
October,6.80,3.15,6.05,2.40,1.10,,,,,,,
November,2.30,2.70,4.05,4.30,2.10,,,,,,,
December,3.75,3.42,5.05,1.30,2.55,,,,,,,
Total,35.66,30.81,36.07,34.48,21.54,,,,,,,
Calc annual,35.66,30.81,36.07,34.48,21.54,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
