FINCHLEY-ETCHINGHAM-PARK-8-INCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ259913,Long,-0.18335274,Lat,51.60647,Elevation,295,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,4.06,1.76,1.03,1.01,2.72,2.13,0.73,1.77,3.1,2.28,0.82,2.43,0.8,2.49,3.33,0.69,0.97,2.37,3,,,,,
February,,,,,,,0.68,0.62,0.93,2.34,1.05,0,1.62,3.12,1.82,0.12,0.39,2.91,1.22,2.1,4.68,1.39,1.4,1.06,2.93,,,,,
March,,,,,,,1.88,1.79,4.12,1.76,2.14,2,1.28,0.37,1.26,1.64,3.52,3.82,1.35,0.56,0.83,2.11,1.79,2.55,1.73,,,,,
April,,,,,,,1.38,1.02,2.39,1.96,1.66,1.11,1.05,0.15,2.07,1.21,0.59,1.99,1.25,2.74,1.05,2.3,0.57,2.11,0.92,,,,,
May,,,,,,,4.85,2.01,1.31,3.88,1.7,3.1,1.54,0.91,1.97,0.43,0.2,1.44,2.54,1.52,1.33,1.03,2.07,2.38,2.16,,,,,
June,,,,,,,0.77,0.85,3.25,2.16,3.32,0.96,2.99,0.64,1.89,0.34,1.85,2.57,1.31,2.17,2.64,1.01,3.78,6.15,0.78,,,,,
July,,,,,,,3.25,1.34,4.92,2.8,5.13,3.26,1.98,2.94,2.74,3.75,1.04,0.77,0.6,1.84,1.44,3.59,1.02,4.05,2.07,,,,,
August,,,,,,,0.91,2.24,3.67,2.82,2.61,4.81,3.14,1.7,2.79,3.24,1.7,2.55,1.22,0.77,2.82,1.78,4.06,4.29,1.9,,,,,
September,,,,,,,1.66,2.89,1.05,1.59,0.98,1.59,3.45,0.93,1.27,0.88,6.36,2.52,0.36,2.5,0.86,1.64,1.07,3.17,1.57,,,,,
October,,,,,,4.33,3,1.5,1.27,3.97,1.3,5.6,3.91,3.73,3.87,2.92,2.99,0.69,3.56,2.46,2.14,2.55,1.43,5.88,1.58,,,,,
November,,,,,,3.49,2.97,3.36,4.66,1.07,2.24,2.1,2.33,2.61,3.28,3.95,1.28,1.16,2.11,4.18,2.32,0.62,2.07,2.26,1.98,,,,,
December,,,,,,1.33,3.93,1.4,1.16,1.43,0.77,3.62,1.56,2.35,2.38,2.39,4.02,2.66,2.56,1.47,3.24,3.56,1.55,1.68,2.08,,,,,
Total,,,,,,,29.34,20.78,29.76,26.79,25.62,30.28,25.58,21.22,28.44,23.15,24.76,25.51,18.88,24.8,26.68,22.27,21.78,37.95,22.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is at the northern end of Etchingham Park Road, where altitudes match, could be +/- 200 yards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two gauges on this site that overlap from 1890 to 1904 inclusive, the readings are remarkably consistent, with about 30% of overlapping readings being exact matches possible suggesting some duplication of readings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
