LOCH RANNOCH (POWER HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN531582,Long,-4.400256,Lat,56.692362,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5560/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,10.65,6.76,8.48,3.09,2.77,10.39,9.79,3.97,0.87,0.95,3.8,5.51,6.21,3.74,6.59,5.98,7.1,5.93,4.05,4.01,3.02,2.71,4.23,2.04,3.28,6.48,3.61,1.79,3
February,,0,4.3,1.31,7.02,2.13,4.13,4.25,6.32,2.43,3.91,1.53,6.1,2.28,7.73,4.64,1.74,5.96,5.9,6.66,3.13,1.73,2.43,2.6,2.84,2.25,3.95,2.05,1.55,3.07
March,,2.19,2.4,3.8,2.9,2.14,1.24,5.44,3.82,3.65,1.41,2.4,3.88,1.27,4.53,2.37,2.44,5.5,2.39,2.31,2.24,2.49,1.8,2.94,0.73,3.5,3.92,0.85,2.29,1.59
April,,4.04,2.05,3.34,2.14,1.84,1.24,0.61,2.8,3.89,1.34,2,4.03,2.95,1.66,1.58,8.63,3.71,4.05,4.04,3.73,2.17,2.98,1.39,1.44,1.86,1.5,1.84,3.64,5.01
May,3.48,2.58,1.63,2.87,0.75,1.32,3.29,2.19,0.75,1.95,1.6,3.66,2.54,3.21,4.39,1.24,3.75,2.22,2.37,1.64,0.8,2.51,2.44,4.14,2.26,2.61,1.11,4.14,1.36,2.61
June,3.51,0.69,1.96,1.19,3.8,1.41,2.19,5.11,1.33,0.87,0.49,1.65,4.22,4.45,3.48,3.23,3.03,3.36,1.32,2.51,1.43,2.89,2.84,1.83,1.25,2.53,2.17,2.52,2.78,1.85
July,3.89,4.33,2.76,2.58,0.9,4.25,3.22,3.89,4.77,5.04,2.59,3.17,2.42,2.05,2.62,4.17,4.21,2.97,1.83,5.24,2.28,2.52,5.2,1.67,0.58,4.97,3.9,3.37,3.86,1.96
August,1.84,2.37,2.53,3.62,2.94,2.88,3,2.92,2,1.65,4.41,3.15,4.44,3.86,2.05,3.55,0.03,5.9,4.7,5.63,3.37,3.98,3.06,3.3,1.2,4.38,4,5.59,2.34,3.3
September,1.27,3.95,1.25,5.28,6.81,2.84,3.21,4.1,2.33,2.21,1.55,5.56,3.84,3.28,5.31,5.57,5.22,5.64,1.44,7.85,2.61,3.1,4.48,4.9,3.73,4.73,1.78,4.35,1.21,3.11
October,3.72,6.49,4.55,7.45,9.27,6.81,2.33,9.53,3.29,5.3,6.02,6.15,9.25,4.26,3.53,0.51,3.26,5.06,4.7,5.23,1.61,5.15,2.89,8.23,3.61,3.77,5.05,4.72,6.03,3.6
November,6.63,5.6,2.03,0.43,5.03,3.43,0.64,11.49,9.14,5.81,6.28,1.59,3.08,6.31,0.42,4.32,8.3,3.48,4.31,4.08,6.61,2.58,6.59,7.26,1.8,3.35,0.74,0.89,4.94,4.34
December,5.56,7.46,0.65,7.15,1.9,8.63,1.55,5.38,2.05,5.6,5.02,6.67,2.81,5.99,5.67,5.03,2.57,8.07,11.16,2.29,6.48,4.72,6.54,9.14,8.1,6.8,6.49,5.89,5.87,5.98
Total,,50.35,32.87,47.5,46.55,40.45,36.43,64.7,42.57,39.27,35.57,41.33,52.12,46.12,45.13,42.8,49.16,58.97,50.1,51.53,38.3,36.86,43.96,51.63,29.58,44.03,41.09,39.82,37.66,39.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 J-Ap +T Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Np Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1956 has T as 44.03 amended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5560/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,866079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
