PULFORD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ374591,Long,-2.9369418,Lat,53.125376,Elevation,60,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.07,1.72,2.61,1.61,1.6,3.1,1.98,1.81,2.8,1.16,4.74,2.53,1.54,0.45,0.62,2.08,3.36,2.54,1.13,2.97,,,
February,,,,,,,,1.01,1.61,1.58,0.85,1.83,2.46,0.78,1.32,1.43,2.85,1.83,1.39,2.42,1.67,2.91,1.41,2.74,2.79,2.73,0.99,,,
March,,,,,,,,1.74,1.57,1.22,1.64,1.33,2.78,2.39,0.46,0.93,1.9,2.39,0.93,1.27,1.4,2.85,1.29,1.06,2.5,1.02,1.65,,,
April,,,,,,,,2.63,1.2,1.17,1.18,1.9,3.29,0.73,1.36,0.68,2.73,3.23,1.75,2.74,1.12,0.81,3.47,0.78,0.86,1.59,1.25,,,
May,,,,,,,,2.06,1.56,4.81,0.88,1.82,2.15,2.02,1.32,1.88,0.28,2.11,4.36,1.75,2.87,1.43,1.72,1.45,0.85,1.61,6.63,,,
June,,,,,,,,0.79,0.24,0.85,0.78,2.62,6.63,1.07,0.43,1.95,1.46,1.02,3.25,4.64,3.15,2.26,3.24,2.92,2.26,2.16,1.35,,,
July,,,,,,,,2.8,1.82,0.62,0.74,3.21,5.02,2.54,1.72,3.89,1.68,3.43,1.08,3.05,6.85,1.87,2.79,2.1,3.54,0.88,2.34,,,
August,,,,,,,,1.11,2.62,1.39,2.65,1.47,3.8,2.73,2.34,2.89,3.14,4.71,4.83,6.05,2.68,3.58,2.06,1.18,1.05,1.43,0.63,,,
September,,,,,,,,1.44,2.06,4,1.73,4.62,4.84,2.26,2.08,3.85,4.45,3.02,2.39,2.5,2.55,1.63,1.47,4.5,1.61,3.08,3.31,,,
October,,,,,,,,3.41,2.39,2.65,4.83,4.02,6.53,1.91,2.95,5.14,2.56,2.33,3.47,1.1,5.43,2.58,2.97,2.97,0.93,5.31,3.98,,,
November,,,,,,,,0.91,1.72,2.98,2.61,1.32,4.13,1.88,3.22,3.38,3.97,2.95,2.37,1.02,2.69,2.5,3.59,2.45,2.39,2.53,2.12,,,
December,,,,,,,,2.17,5.91,2.53,2.73,1.49,3.58,0.92,2.9,0.87,4.61,2.34,2.6,1.08,4.27,2.3,3.81,0.95,1.77,0.54,3.82,,,
Total,,,,,,,,22.14,24.42,26.41,22.23,27.23,48.31,21.21,21.91,29.69,30.79,34.1,30.95,29.16,35.13,25.34,29.9,26.46,23.09,24.01,31.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Pulford Hall, now demolished, but located near current Park Cottages. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
