BURY ST EDMUNDS (WHITING STREET),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1389,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,3.67,1.80,1.86,
February,,,,,,,,,1.40,0.44,0.54,
March,,,,,,,,,1.45,0.08,0.97,
April,,,,,,,,,1.20,1.35,1.87,
May,,,,,,,,,1.30,1.44,2.83,
June,,,,,,,,,1.82,0.70,0.50,
July,,,,,,,,,2.17,2.00,5.51,
August,,,,,,,,,1.93,1.16,2.47,
September,,,,,,,,,0.45,0.78,4.46,
October,,,,,,,,,2.85,3.00,1.07,
November,,,,,,,,,2.06,3.63,4.37,
December,,,,,,,,,2.82,4.86,2.21,
Total,,,,,,,,,23.12,21.24,28.66,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.12,21.24,28.66,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,
