BURY-ST-EDMUNDS-WHITING-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL853638,Long,0.71253937,Lat,52.241189,Elevation,146,ft,,,,,,,,,,,,,
Station no,1389,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.67,1.8,1.86,1.92,1.17,1.31,1.41,,,,,,
February,,,,,,,,,1.4,0.44,0.54,2.55,0.46,2.08,0.52,,,,,,
March,,,,,,,,,1.45,0.08,0.97,0.22,1.65,2.03,2.04,,,,,,
April,,,,,,,,,1.2,1.35,1.87,3.99,3.09,1.26,2.55,,,,,,
May,,,,,,,,,1.3,1.44,2.83,2.78,5.11,1.78,0.79,,,,,,
June,,,,,,,,,1.82,0.7,0.5,1.29,0.59,1.6,1.74,,,,,,
July,,,,,,,,,2.17,,5.51,3.71,4.18,3.13,1.13,,,,,,
August,,,,,,,,,1.93,1.16,2.47,4.06,1.99,0.95,1.98,,,,,,
September,,,,,,,,,0.45,0.78,4.46,2.22,2.06,2.86,1.52,,,,,,
October,,,,,,,,,2.85,,1.07,0.78,4.18,2.21,1.38,,,,,,
November,,,,,,,,,2.06,3.63,4.37,1.89,1.74,1.53,1.31,,,,,,
December,,,,,,,,,2.82,4.86,2.21,1.1,0.56,0.52,3.78,,,,,,
Total,,,,,,,,,23.12,,28.66,26.51,26.78,21.26,20.15,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Jul Oct estimated,,,,,,,,,,,,,,,,,,,,,
