WOODBRIDGE-THE-GRANGE,,,,,,,,,,
Grid ref,TM272496,Long,1.3157078,Lat,52.098058,Elevation,102,ft,,
Station no,RR6814,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.3,0.94,1.54,1.87,1.8,2.41,,,,
February,1.7,1.91,0.85,2.52,0.94,2.35,,,,
March,0.46,2.33,1.85,1.42,1.24,0.99,,,,
April,1.65,1.01,3.65,0.76,1.93,1.65,,,,
May,0.44,0.88,1.43,1.72,0.3,2.92,,,,
June,2.26,2.1,2.09,1.69,1.31,1.02,,,,
July,3.17,1.46,2.4,2.59,2,,,,,
August,1.9,1.88,1.41,0.69,1.36,,,,,
September,2.82,3.03,3.21,2.46,4.6,,,,,
October,3.53,3.23,5.33,2.31,2.39,,,,,
November,3.65,1.77,2.99,3.16,0.8,,,,,
December,2.4,2.37,3.46,1.83,2.51,,,,,
Total,24.28,22.91,30.21,23.02,21.18,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
1885 Jul Gauge moved,,,,,,,,,,
